Time Steps,Polymerase Count,Active Histone Count,Acetylated Histone Count,Methylated Histone Count,Unmodified Histone Count,Noisy Changes Count,Enzyme Changes Count,Chromatine Array
1,0,107,82,25,91,0,0,"['A' 'A' 'U' 'A' 'U' 'U' 'U' 'A' 'A' 'U' 'U' 'U' 'U' 'A' 'A' 'U' 'U' 'A'
 'U' 'U' 'A' 'A' 'U' 'A' 'U' 'A' 'U' 'U' 'A' 'U' 'U' 'U' 'U' 'U' 'A' 'U'
 'U' 'A' 'U' 'A' 'A' 'U' 'U' 'A' 'A' 'U' 'U' 'A' 'A' 'A' 'A' 'U' 'A' 'A'
 'A' 'U' 'U' 'A' 'A' 'A' 'U' 'A' 'U' 'A' 'A' 'M' 'M' 'M' 'M' 'M' 'M' 'M'
 'M' 'U' 'M' 'M' 'M' 'U' 'M' 'M' 'U' 'M' 'U' 'M' 'M' 'M' 'M' 'M' 'M' 'M'
 'M' 'M' 'M' 'M' 'U' 'U' 'U' 'U' 'U' 'A' 'U' 'U' 'A' 'A' 'U' 'A' 'A' 'A'
 'A' 'U' 'A' 'U' 'A' 'U' 'U' 'U' 'A' 'U' 'A' 'U' 'A' 'A' 'U' 'A' 'U' 'U'
 'U' 'U' 'A' 'A' 'A' 'A' 'U' 'A' 'A' 'U' 'A' 'U' 'U' 'U' 'U' 'U' 'U' 'U'
 'A' 'A' 'U' 'U' 'U' 'A' 'U' 'A' 'A' 'A' 'A' 'A' 'U' 'A' 'U' 'U' 'A' 'U'
 'U' 'U' 'U' 'A' 'A' 'U' 'U' 'A' 'U' 'U' 'U' 'A' 'A' 'U' 'U' 'A' 'A' 'A'
 'A' 'A' 'A' 'A' 'U' 'U' 'A' 'U' 'A' 'U' 'A' 'U' 'A' 'U' 'A' 'U' 'A' 'A']"
101,1,119,90,29,79,0,0,"['A' 'A' 'U' 'A' 'U' 'U' 'U' 'A' 'A' 'A' 'U' 'U' 'U' 'A' 'A' 'U' 'U' 'A'
 'U' 'U' 'A' 'A' 'U' 'A' 'U' 'A' 'U' 'U' 'A' 'U' 'U' 'M' 'A' 'A' 'A' 'U'
 'U' 'A' 'U' 'A' 'A' 'U' 'U' 'A' 'A' 'U' 'U' 'A' 'A' 'A' 'U' 'U' 'A' 'A'
 'A' 'A' 'U' 'A' 'A' 'A' 'U' 'A' 'U' 'A' 'A' 'M' 'M' 'M' 'M' 'M' 'U' 'M'
 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'U' 'M' 'M' 'M' 'M' 'M' 'M' 'M'
 'U' 'U' 'M' 'U' 'M' 'U' 'A' 'U' 'U' 'A' 'U' 'U' 'A' 'A' 'U' 'A' 'U' 'A'
 'A' 'A' 'A' 'U' 'U' 'A' 'U' 'M' 'A' 'U' 'A' 'U' 'A' 'A' 'U' 'A' 'U' 'A'
 'U' 'M' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'U' 'U' 'U' 'M' 'U'
 'U' 'A' 'U' 'A' 'U' 'A' 'U' 'A' 'A' 'U' 'A' 'A' 'U' 'A' 'U' 'U' 'A' 'U'
 'U' 'U' 'U' 'A' 'U' 'U' 'U' 'A' 'U' 'U' 'U' 'A' 'A' 'U' 'U' 'A' 'A' 'A'
 'A' 'A' 'A' 'A' 'U' 'U' 'A' 'U' 'A' 'A' 'A' 'U' 'A' 'A' 'U' 'U' 'A' 'A']"
201,0,124,89,35,74,1,0,"['A' 'A' 'U' 'A' 'U' 'U' 'U' 'A' 'U' 'A' 'A' 'A' 'U' 'U' 'A' 'U' 'U' 'A'
 'U' 'U' 'A' 'A' 'U' 'A' 'U' 'A' 'U' 'U' 'A' 'A' 'U' 'M' 'A' 'A' 'A' 'M'
 'U' 'A' 'U' 'A' 'A' 'U' 'U' 'A' 'A' 'A' 'U' 'A' 'A' 'A' 'M' 'U' 'A' 'A'
 'A' 'A' 'M' 'A' 'A' 'A' 'U' 'A' 'U' 'A' 'U' 'M' 'U' 'M' 'M' 'M' 'M' 'M'
 'M' 'M' 'M' 'M' 'M' 'U' 'U' 'M' 'M' 'M' 'M' 'M' 'M' 'U' 'U' 'M' 'M' 'M'
 'M' 'M' 'M' 'M' 'M' 'U' 'A' 'M' 'U' 'U' 'U' 'M' 'A' 'A' 'U' 'U' 'U' 'A'
 'A' 'U' 'A' 'U' 'A' 'A' 'U' 'M' 'A' 'U' 'A' 'U' 'A' 'A' 'U' 'A' 'U' 'A'
 'M' 'U' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'U' 'U' 'A' 'M' 'U'
 'U' 'U' 'M' 'A' 'U' 'A' 'U' 'A' 'A' 'U' 'A' 'A' 'U' 'A' 'U' 'U' 'A' 'U'
 'U' 'U' 'U' 'A' 'U' 'U' 'U' 'A' 'U' 'U' 'A' 'A' 'A' 'A' 'U' 'A' 'A' 'A'
 'A' 'A' 'A' 'A' 'U' 'U' 'A' 'U' 'A' 'A' 'A' 'U' 'A' 'A' 'U' 'U' 'U' 'U']"
301,0,126,87,39,72,0,0,"['A' 'A' 'U' 'A' 'M' 'M' 'U' 'A' 'U' 'A' 'A' 'A' 'U' 'A' 'A' 'U' 'U' 'A'
 'U' 'U' 'A' 'A' 'U' 'U' 'U' 'A' 'U' 'U' 'U' 'A' 'U' 'M' 'A' 'A' 'A' 'M'
 'U' 'A' 'U' 'A' 'A' 'U' 'U' 'A' 'A' 'U' 'M' 'A' 'A' 'A' 'U' 'U' 'A' 'A'
 'A' 'A' 'U' 'A' 'A' 'A' 'U' 'U' 'A' 'A' 'U' 'M' 'M' 'U' 'M' 'U' 'M' 'M'
 'U' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'U' 'M' 'M' 'M' 'M' 'M' 'M'
 'M' 'M' 'M' 'M' 'U' 'U' 'A' 'U' 'A' 'U' 'U' 'U' 'A' 'A' 'U' 'U' 'U' 'U'
 'A' 'M' 'A' 'U' 'A' 'A' 'U' 'M' 'A' 'U' 'A' 'U' 'A' 'A' 'U' 'A' 'U' 'A'
 'M' 'M' 'A' 'A' 'A' 'U' 'A' 'A' 'A' 'A' 'A' 'U' 'A' 'A' 'U' 'A' 'M' 'U'
 'U' 'U' 'M' 'A' 'U' 'A' 'A' 'A' 'A' 'U' 'A' 'A' 'U' 'A' 'U' 'M' 'A' 'U'
 'U' 'U' 'U' 'A' 'U' 'U' 'U' 'A' 'U' 'M' 'A' 'A' 'A' 'A' 'U' 'A' 'A' 'A'
 'U' 'A' 'A' 'A' 'U' 'U' 'A' 'M' 'A' 'A' 'A' 'U' 'A' 'A' 'A' 'U' 'U' 'U']"
401,0,137,94,43,61,0,0,"['A' 'A' 'U' 'A' 'M' 'M' 'M' 'U' 'M' 'A' 'A' 'A' 'A' 'A' 'A' 'U' 'M' 'A'
 'U' 'U' 'A' 'A' 'U' 'U' 'U' 'A' 'U' 'U' 'U' 'A' 'U' 'M' 'A' 'A' 'A' 'M'
 'U' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'U' 'U' 'M' 'A' 'U' 'A' 'U' 'U' 'A' 'A'
 'A' 'A' 'U' 'A' 'A' 'A' 'A' 'U' 'A' 'A' 'A' 'M' 'U' 'M' 'U' 'M' 'M' 'M'
 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'U' 'U' 'M' 'M' 'M' 'M' 'U' 'M'
 'M' 'M' 'M' 'M' 'M' 'U' 'A' 'U' 'A' 'M' 'A' 'U' 'A' 'A' 'A' 'U' 'U' 'U'
 'A' 'M' 'A' 'U' 'A' 'A' 'A' 'U' 'A' 'U' 'A' 'U' 'A' 'A' 'U' 'A' 'U' 'U'
 'M' 'M' 'A' 'A' 'A' 'U' 'A' 'A' 'A' 'A' 'A' 'U' 'A' 'A' 'U' 'A' 'M' 'U'
 'A' 'U' 'M' 'A' 'U' 'A' 'A' 'A' 'A' 'U' 'A' 'A' 'M' 'A' 'U' 'M' 'A' 'U'
 'U' 'U' 'U' 'A' 'U' 'U' 'U' 'A' 'U' 'M' 'A' 'A' 'A' 'A' 'U' 'A' 'A' 'A'
 'U' 'A' 'A' 'A' 'U' 'U' 'A' 'M' 'A' 'A' 'A' 'U' 'A' 'A' 'A' 'U' 'A' 'U']"
501,0,140,94,46,58,0,0,"['A' 'M' 'U' 'A' 'M' 'M' 'M' 'A' 'M' 'A' 'A' 'A' 'A' 'A' 'A' 'M' 'M' 'A'
 'A' 'A' 'A' 'A' 'A' 'U' 'U' 'U' 'U' 'A' 'U' 'A' 'U' 'M' 'A' 'U' 'A' 'M'
 'U' 'A' 'A' 'A' 'A' 'A' 'U' 'U' 'U' 'U' 'U' 'A' 'U' 'A' 'U' 'U' 'A' 'A'
 'U' 'A' 'U' 'A' 'A' 'A' 'A' 'U' 'A' 'A' 'A' 'M' 'M' 'M' 'M' 'U' 'U' 'M'
 'U' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'U' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'U' 'M'
 'M' 'M' 'M' 'M' 'M' 'U' 'A' 'U' 'A' 'M' 'A' 'U' 'A' 'A' 'A' 'U' 'U' 'U'
 'A' 'M' 'A' 'M' 'A' 'A' 'A' 'U' 'A' 'U' 'U' 'U' 'A' 'A' 'U' 'A' 'U' 'U'
 'M' 'M' 'A' 'A' 'A' 'U' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'M' 'A' 'M' 'U'
 'A' 'U' 'M' 'A' 'A' 'A' 'A' 'A' 'A' 'U' 'A' 'A' 'U' 'U' 'U' 'M' 'A' 'U'
 'U' 'U' 'A' 'A' 'U' 'U' 'A' 'U' 'A' 'M' 'A' 'A' 'A' 'A' 'M' 'A' 'U' 'A'
 'U' 'A' 'A' 'A' 'U' 'A' 'A' 'M' 'A' 'A' 'A' 'U' 'A' 'U' 'A' 'U' 'A' 'U']"
601,0,134,93,41,64,0,1,"['A' 'U' 'A' 'A' 'M' 'U' 'M' 'U' 'M' 'A' 'A' 'A' 'A' 'A' 'A' 'M' 'M' 'A'
 'A' 'A' 'A' 'A' 'A' 'U' 'U' 'U' 'U' 'A' 'U' 'U' 'U' 'M' 'U' 'U' 'A' 'M'
 'U' 'A' 'A' 'A' 'U' 'A' 'U' 'U' 'A' 'U' 'U' 'A' 'U' 'A' 'U' 'A' 'A' 'A'
 'U' 'A' 'A' 'A' 'A' 'A' 'A' 'U' 'A' 'A' 'U' 'M' 'M' 'U' 'U' 'M' 'M' 'M'
 'M' 'M' 'M' 'U' 'U' 'M' 'M' 'M' 'U' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M'
 'M' 'M' 'M' 'M' 'M' 'U' 'A' 'U' 'A' 'M' 'A' 'U' 'A' 'U' 'A' 'A' 'A' 'U'
 'A' 'U' 'U' 'M' 'A' 'A' 'A' 'U' 'U' 'U' 'A' 'A' 'A' 'A' 'U' 'A' 'M' 'U'
 'U' 'M' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'U' 'A' 'M' 'U'
 'A' 'U' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'U' 'A' 'A' 'U' 'U' 'U' 'M' 'A' 'M'
 'U' 'U' 'A' 'A' 'U' 'A' 'A' 'U' 'A' 'M' 'U' 'U' 'A' 'A' 'U' 'A' 'U' 'A'
 'U' 'U' 'A' 'A' 'U' 'U' 'A' 'M' 'A' 'A' 'A' 'U' 'A' 'U' 'A' 'U' 'A' 'U']"
701,0,135,94,41,63,1,0,"['A' 'M' 'A' 'A' 'U' 'M' 'M' 'U' 'M' 'A' 'A' 'A' 'A' 'A' 'A' 'M' 'M' 'A'
 'U' 'A' 'A' 'A' 'A' 'A' 'U' 'U' 'U' 'A' 'U' 'U' 'U' 'M' 'U' 'U' 'A' 'M'
 'U' 'U' 'A' 'A' 'U' 'U' 'A' 'U' 'A' 'U' 'U' 'U' 'M' 'U' 'U' 'A' 'A' 'A'
 'A' 'A' 'A' 'A' 'U' 'U' 'A' 'U' 'A' 'A' 'A' 'M' 'M' 'M' 'M' 'M' 'M' 'M'
 'U' 'U' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'U' 'M' 'U' 'M' 'M' 'M' 'U'
 'M' 'M' 'M' 'M' 'M' 'U' 'A' 'U' 'U' 'M' 'A' 'U' 'A' 'U' 'A' 'A' 'A' 'A'
 'A' 'U' 'U' 'M' 'A' 'A' 'A' 'U' 'U' 'A' 'A' 'A' 'U' 'A' 'U' 'A' 'U' 'A'
 'U' 'M' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'U' 'A' 'A' 'M' 'U'
 'A' 'U' 'A' 'A' 'A' 'A' 'A' 'A' 'U' 'A' 'A' 'A' 'A' 'A' 'U' 'M' 'U' 'M'
 'U' 'A' 'A' 'A' 'U' 'A' 'A' 'U' 'A' 'U' 'A' 'U' 'A' 'U' 'U' 'A' 'U' 'A'
 'U' 'U' 'A' 'U' 'U' 'U' 'A' 'M' 'A' 'A' 'A' 'A' 'A' 'U' 'A' 'A' 'A' 'U']"
801,0,134,90,44,64,0,0,"['A' 'U' 'A' 'A' 'U' 'M' 'M' 'U' 'M' 'A' 'A' 'A' 'U' 'A' 'A' 'M' 'M' 'A'
 'A' 'U' 'A' 'A' 'A' 'A' 'U' 'M' 'U' 'A' 'U' 'U' 'U' 'U' 'U' 'A' 'A' 'M'
 'U' 'M' 'A' 'A' 'U' 'U' 'U' 'U' 'A' 'U' 'U' 'U' 'M' 'U' 'U' 'A' 'A' 'A'
 'A' 'A' 'A' 'A' 'U' 'U' 'A' 'U' 'U' 'U' 'A' 'M' 'M' 'M' 'U' 'M' 'M' 'M'
 'U' 'M' 'M' 'M' 'M' 'U' 'M' 'U' 'M' 'M' 'M' 'U' 'M' 'M' 'M' 'M' 'M' 'M'
 'M' 'M' 'M' 'M' 'M' 'M' 'A' 'U' 'U' 'M' 'A' 'U' 'A' 'U' 'A' 'A' 'A' 'A'
 'A' 'U' 'U' 'M' 'A' 'U' 'A' 'U' 'U' 'A' 'A' 'A' 'U' 'A' 'U' 'A' 'U' 'A'
 'U' 'M' 'A' 'A' 'A' 'A' 'A' 'A' 'U' 'A' 'A' 'A' 'A' 'U' 'A' 'A' 'M' 'A'
 'U' 'U' 'A' 'A' 'A' 'A' 'A' 'A' 'U' 'A' 'A' 'A' 'A' 'A' 'U' 'M' 'U' 'M'
 'U' 'A' 'A' 'A' 'A' 'U' 'A' 'A' 'A' 'M' 'A' 'U' 'A' 'U' 'M' 'A' 'U' 'A'
 'U' 'U' 'U' 'A' 'U' 'U' 'A' 'M' 'A' 'A' 'A' 'A' 'A' 'U' 'A' 'A' 'A' 'U']"
901,1,135,90,45,63,0,0,"['A' 'U' 'A' 'A' 'U' 'M' 'U' 'U' 'M' 'A' 'A' 'A' 'U' 'A' 'A' 'M' 'M' 'A'
 'A' 'A' 'A' 'A' 'A' 'A' 'U' 'M' 'U' 'A' 'U' 'A' 'U' 'U' 'A' 'A' 'A' 'M'
 'A' 'M' 'A' 'U' 'U' 'U' 'A' 'U' 'A' 'U' 'A' 'U' 'M' 'U' 'U' 'A' 'A' 'A'
 'A' 'A' 'A' 'A' 'U' 'A' 'A' 'U' 'U' 'U' 'A' 'M' 'M' 'U' 'M' 'M' 'M' 'M'
 'M' 'U' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'U' 'M' 'M' 'M' 'M' 'U' 'M'
 'M' 'M' 'M' 'U' 'M' 'U' 'A' 'U' 'U' 'U' 'A' 'U' 'A' 'A' 'U' 'A' 'A' 'A'
 'A' 'U' 'M' 'M' 'A' 'M' 'A' 'U' 'U' 'U' 'A' 'A' 'U' 'A' 'U' 'A' 'U' 'M'
 'U' 'M' 'A' 'A' 'A' 'A' 'U' 'A' 'U' 'A' 'A' 'A' 'A' 'U' 'A' 'A' 'M' 'A'
 'U' 'U' 'U' 'U' 'A' 'U' 'A' 'U' 'U' 'A' 'A' 'A' 'A' 'A' 'U' 'M' 'U' 'M'
 'U' 'A' 'U' 'A' 'A' 'U' 'A' 'A' 'A' 'M' 'A' 'U' 'A' 'M' 'M' 'A' 'A' 'A'
 'U' 'U' 'A' 'A' 'U' 'U' 'A' 'M' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'U' 'A' 'U']"
