Time Steps,Real Time,Polymerase Count,Active Histone Count,Acetylated Histone Count,Methylated Histone Count,Unmodified Histone Count,Chromatine array,Count A,Noisy Changes Count,Enzyme Changes Count,Chromatine Array
1,4.545454545454546,0,112,82,30,86,,4,0.0,"(0, 4.545454545454546)","['A' 'A' 'U' 'A' 'U' 'U' 'U' 'A' 'A' 'U' 'U' 'U' 'U' 'A' 'A' 'U' 'U' 'A'
 'U' 'U' 'A' 'A' 'U' 'A' 'U' 'A' 'U' 'U' 'A' 'U' 'U' 'U' 'U' 'U' 'A' 'U'
 'U' 'A' 'U' 'A' 'A' 'U' 'U' 'A' 'A' 'U' 'U' 'A' 'A' 'A' 'A' 'U' 'A' 'A'
 'A' 'U' 'U' 'A' 'A' 'A' 'U' 'A' 'U' 'A' 'A' 'M' 'M' 'M' 'M' 'M' 'M' 'M'
 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M'
 'M' 'M' 'M' 'M' 'M' 'U' 'U' 'U' 'U' 'A' 'U' 'U' 'A' 'A' 'U' 'A' 'A' 'A'
 'A' 'U' 'A' 'U' 'A' 'U' 'U' 'U' 'A' 'U' 'A' 'U' 'A' 'A' 'U' 'A' 'U' 'U'
 'U' 'U' 'A' 'A' 'A' 'A' 'U' 'A' 'A' 'U' 'A' 'U' 'U' 'U' 'U' 'U' 'U' 'U'
 'A' 'A' 'U' 'U' 'U' 'A' 'U' 'A' 'A' 'A' 'A' 'A' 'U' 'A' 'U' 'U' 'A' 'U'
 'U' 'U' 'U' 'A' 'A' 'U' 'U' 'A' 'U' 'U' 'U' 'A' 'A' 'U' 'U' 'A' 'A' 'A'
 'A' 'A' 'A' 'A' 'U' 'U' 'A' 'U' 'A' 'U' 'A' 'U' 'A' 'U' 'A' 'U' 'A' 'A']"
101,459.09090909090946,6,123,87,36,75,,6,0.0,"(0, 459.09090909090946)","['A' 'A' 'U' 'A' 'A' 'U' 'U' 'A' 'A' 'U' 'U' 'U' 'U' 'A' 'A' 'U' 'U' 'A'
 'U' 'U' 'A' 'A' 'U' 'A' 'M' 'A' 'A' 'U' 'A' 'U' 'U' 'U' 'U' 'M' 'A' 'A'
 'U' 'A' 'U' 'U' 'A' 'A' 'U' 'A' 'U' 'U' 'U' 'A' 'U' 'A' 'A' 'U' 'A' 'A'
 'A' 'A' 'U' 'A' 'A' 'A' 'A' 'A' 'U' 'A' 'A' 'M' 'M' 'M' 'M' 'M' 'M' 'M'
 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M'
 'M' 'M' 'M' 'U' 'M' 'U' 'U' 'U' 'U' 'A' 'U' 'A' 'A' 'A' 'U' 'A' 'A' 'A'
 'A' 'M' 'A' 'A' 'A' 'U' 'A' 'U' 'U' 'U' 'A' 'U' 'A' 'A' 'U' 'A' 'U' 'U'
 'U' 'U' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'M' 'U' 'U' 'A' 'U' 'U' 'U'
 'U' 'A' 'U' 'U' 'U' 'A' 'U' 'A' 'A' 'U' 'A' 'A' 'U' 'A' 'U' 'U' 'U' 'A'
 'U' 'U' 'M' 'A' 'A' 'U' 'U' 'A' 'U' 'U' 'U' 'A' 'A' 'U' 'U' 'A' 'M' 'A'
 'A' 'A' 'A' 'A' 'M' 'U' 'A' 'U' 'A' 'U' 'A' 'U' 'A' 'U' 'A' 'U' 'A' 'A']"
201,913.6363636363606,7,133,94,39,65,,7,0.0,"(0, 913.6363636363606)","['A' 'A' 'M' 'A' 'U' 'U' 'U' 'A' 'A' 'U' 'A' 'U' 'A' 'A' 'A' 'U' 'U' 'A'
 'U' 'U' 'U' 'A' 'U' 'A' 'M' 'U' 'A' 'U' 'A' 'U' 'U' 'U' 'M' 'M' 'A' 'A'
 'A' 'U' 'M' 'U' 'A' 'A' 'U' 'A' 'U' 'U' 'A' 'A' 'U' 'A' 'A' 'A' 'A' 'A'
 'A' 'A' 'A' 'A' 'A' 'A' 'U' 'A' 'A' 'A' 'A' 'M' 'M' 'M' 'M' 'M' 'M' 'M'
 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M'
 'U' 'M' 'M' 'U' 'M' 'U' 'A' 'U' 'U' 'A' 'U' 'A' 'A' 'A' 'U' 'A' 'A' 'A'
 'A' 'M' 'A' 'A' 'A' 'U' 'A' 'U' 'U' 'U' 'A' 'U' 'A' 'U' 'U' 'A' 'M' 'U'
 'U' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'U' 'U' 'A' 'U' 'U' 'U'
 'A' 'A' 'U' 'U' 'M' 'U' 'U' 'A' 'A' 'A' 'A' 'U' 'U' 'A' 'A' 'U' 'U' 'A'
 'U' 'U' 'M' 'A' 'A' 'U' 'A' 'A' 'U' 'A' 'A' 'A' 'A' 'U' 'U' 'A' 'M' 'U'
 'A' 'A' 'A' 'A' 'M' 'A' 'A' 'U' 'A' 'U' 'A' 'U' 'A' 'U' 'U' 'U' 'A' 'A']"
301,1368.181818181811,6,140,100,40,58,,7,0.0,"(0, 1368.181818181811)","['A' 'A' 'M' 'U' 'U' 'U' 'U' 'A' 'A' 'A' 'A' 'M' 'A' 'A' 'A' 'A' 'U' 'U'
 'U' 'U' 'A' 'U' 'A' 'A' 'M' 'M' 'A' 'A' 'A' 'A' 'U' 'A' 'M' 'A' 'A' 'A'
 'A' 'A' 'M' 'A' 'U' 'A' 'U' 'A' 'A' 'U' 'A' 'A' 'U' 'U' 'U' 'A' 'A' 'A'
 'A' 'A' 'U' 'U' 'U' 'A' 'U' 'A' 'A' 'U' 'U' 'M' 'U' 'M' 'M' 'M' 'M' 'M'
 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M'
 'U' 'M' 'M' 'U' 'M' 'U' 'A' 'U' 'U' 'A' 'A' 'A' 'A' 'A' 'U' 'A' 'A' 'A'
 'A' 'M' 'A' 'U' 'A' 'U' 'A' 'U' 'M' 'U' 'A' 'A' 'A' 'A' 'U' 'A' 'M' 'U'
 'U' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'U' 'A' 'U' 'U' 'U'
 'A' 'A' 'U' 'U' 'U' 'U' 'M' 'A' 'A' 'A' 'A' 'U' 'U' 'A' 'A' 'U' 'A' 'A'
 'U' 'A' 'A' 'A' 'A' 'U' 'A' 'A' 'U' 'A' 'A' 'A' 'A' 'U' 'U' 'A' 'M' 'A'
 'A' 'U' 'A' 'A' 'M' 'U' 'A' 'M' 'A' 'A' 'A' 'U' 'A' 'U' 'U' 'U' 'A' 'A']"
401,1822.7272727272614,6,138,86,52,60,,7,0.0,"(1, 1822.7272727272614)","['A' 'A' 'M' 'A' 'U' 'U' 'U' 'M' 'M' 'A' 'U' 'M' 'U' 'A' 'A' 'A' 'M' 'U'
 'U' 'U' 'A' 'U' 'A' 'A' 'M' 'M' 'A' 'U' 'A' 'A' 'U' 'A' 'M' 'A' 'A' 'A'
 'U' 'A' 'M' 'U' 'U' 'A' 'M' 'A' 'A' 'U' 'A' 'U' 'U' 'U' 'U' 'A' 'A' 'A'
 'M' 'A' 'U' 'U' 'U' 'A' 'U' 'A' 'A' 'U' 'U' 'M' 'U' 'M' 'M' 'M' 'M' 'M'
 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'U' 'M' 'M' 'M' 'M' 'M' 'M'
 'U' 'M' 'M' 'U' 'U' 'U' 'A' 'A' 'U' 'A' 'A' 'A' 'A' 'A' 'U' 'A' 'A' 'A'
 'M' 'M' 'A' 'U' 'U' 'M' 'U' 'U' 'M' 'M' 'A' 'A' 'A' 'U' 'U' 'A' 'M' 'M'
 'A' 'A' 'U' 'U' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'U' 'A' 'A' 'U' 'M'
 'A' 'A' 'U' 'M' 'U' 'U' 'M' 'U' 'A' 'M' 'A' 'U' 'U' 'A' 'A' 'U' 'A' 'A'
 'U' 'A' 'A' 'A' 'A' 'U' 'A' 'M' 'U' 'A' 'A' 'A' 'A' 'U' 'U' 'A' 'M' 'A'
 'U' 'A' 'A' 'A' 'M' 'U' 'A' 'M' 'A' 'A' 'A' 'U' 'A' 'M' 'U' 'U' 'A' 'A']"
501,2277.272727272712,6,130,82,48,68,,6,"(1, 2277.272727272712)",0,"['A' 'A' 'M' 'A' 'U' 'U' 'U' 'U' 'U' 'A' 'U' 'U' 'A' 'A' 'A' 'U' 'U' 'U'
 'U' 'U' 'A' 'U' 'A' 'A' 'M' 'M' 'A' 'U' 'A' 'A' 'U' 'A' 'M' 'A' 'A' 'A'
 'U' 'A' 'U' 'U' 'U' 'A' 'M' 'U' 'A' 'U' 'A' 'M' 'U' 'A' 'U' 'A' 'A' 'A'
 'M' 'A' 'U' 'M' 'A' 'A' 'U' 'M' 'A' 'U' 'A' 'M' 'U' 'M' 'M' 'M' 'M' 'M'
 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'U' 'M' 'M' 'M' 'M' 'M' 'U'
 'U' 'M' 'M' 'U' 'M' 'U' 'A' 'A' 'U' 'A' 'A' 'U' 'U' 'U' 'U' 'A' 'A' 'A'
 'M' 'M' 'A' 'U' 'U' 'U' 'U' 'U' 'U' 'M' 'A' 'A' 'U' 'A' 'U' 'A' 'M' 'M'
 'A' 'A' 'U' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'U' 'A' 'U' 'A' 'A' 'U' 'U'
 'A' 'A' 'M' 'M' 'A' 'U' 'U' 'U' 'A' 'M' 'A' 'U' 'U' 'A' 'A' 'M' 'A' 'A'
 'A' 'A' 'A' 'A' 'A' 'U' 'U' 'M' 'U' 'A' 'U' 'A' 'A' 'U' 'U' 'A' 'M' 'A'
 'U' 'A' 'A' 'U' 'M' 'U' 'A' 'M' 'U' 'A' 'A' 'U' 'A' 'M' 'U' 'U' 'A' 'A']"
601,2731.8181818181624,6,123,80,43,75,,7,0,"(1, 2731.8181818181624)","['A' 'A' 'M' 'A' 'U' 'U' 'U' 'U' 'A' 'A' 'U' 'U' 'A' 'A' 'A' 'U' 'U' 'U'
 'U' 'U' 'A' 'U' 'A' 'U' 'U' 'M' 'A' 'U' 'U' 'A' 'U' 'A' 'M' 'A' 'A' 'A'
 'U' 'A' 'U' 'U' 'U' 'A' 'M' 'U' 'U' 'U' 'A' 'U' 'A' 'M' 'U' 'A' 'A' 'U'
 'M' 'U' 'U' 'M' 'A' 'A' 'U' 'M' 'A' 'A' 'A' 'U' 'U' 'M' 'M' 'M' 'M' 'M'
 'U' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'U' 'M' 'M' 'M' 'M' 'U' 'U'
 'U' 'M' 'U' 'U' 'M' 'U' 'A' 'A' 'U' 'A' 'M' 'A' 'U' 'U' 'U' 'A' 'A' 'A'
 'M' 'U' 'U' 'U' 'A' 'A' 'U' 'U' 'U' 'M' 'A' 'A' 'U' 'A' 'U' 'A' 'M' 'M'
 'A' 'M' 'M' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'U' 'A' 'A' 'U' 'U'
 'A' 'A' 'U' 'M' 'A' 'U' 'U' 'U' 'A' 'M' 'A' 'U' 'A' 'A' 'A' 'M' 'U' 'A'
 'A' 'U' 'A' 'A' 'A' 'U' 'U' 'M' 'U' 'U' 'A' 'A' 'A' 'A' 'U' 'A' 'M' 'A'
 'U' 'A' 'A' 'U' 'M' 'U' 'A' 'U' 'U' 'A' 'A' 'U' 'A' 'U' 'M' 'U' 'A' 'A']"
701,3186.363636363613,6,118,77,41,80,,7,0,"(0, 3186.363636363613)","['A' 'A' 'M' 'A' 'U' 'A' 'U' 'U' 'A' 'A' 'M' 'M' 'A' 'U' 'U' 'U' 'U' 'U'
 'U' 'U' 'A' 'U' 'A' 'U' 'U' 'M' 'A' 'A' 'U' 'A' 'U' 'A' 'A' 'A' 'A' 'A'
 'U' 'A' 'U' 'U' 'U' 'A' 'M' 'U' 'U' 'U' 'A' 'A' 'A' 'M' 'A' 'A' 'A' 'U'
 'M' 'U' 'M' 'M' 'A' 'A' 'U' 'U' 'U' 'A' 'A' 'U' 'U' 'M' 'M' 'M' 'M' 'M'
 'U' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'U' 'M' 'M' 'M' 'M' 'U' 'M'
 'U' 'M' 'U' 'U' 'M' 'U' 'A' 'A' 'U' 'U' 'M' 'A' 'A' 'U' 'U' 'U' 'A' 'A'
 'U' 'U' 'A' 'U' 'A' 'U' 'U' 'U' 'U' 'M' 'A' 'A' 'U' 'A' 'A' 'U' 'M' 'M'
 'A' 'M' 'M' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'U' 'A' 'A' 'U' 'U'
 'A' 'A' 'U' 'M' 'U' 'A' 'U' 'U' 'A' 'U' 'U' 'A' 'A' 'A' 'A' 'M' 'U' 'A'
 'A' 'U' 'U' 'U' 'U' 'U' 'U' 'U' 'U' 'U' 'U' 'A' 'A' 'A' 'U' 'A' 'U' 'U'
 'U' 'A' 'A' 'A' 'M' 'U' 'A' 'U' 'U' 'A' 'A' 'U' 'A' 'U' 'M' 'U' 'A' 'A']"
801,3640.9090909090633,6,118,76,42,80,,7,0,"(0, 3640.9090909090633)","['A' 'A' 'M' 'A' 'U' 'A' 'U' 'U' 'A' 'A' 'U' 'M' 'A' 'U' 'U' 'U' 'U' 'U'
 'A' 'U' 'A' 'U' 'A' 'M' 'U' 'M' 'U' 'A' 'A' 'A' 'U' 'A' 'U' 'A' 'A' 'A'
 'U' 'A' 'U' 'A' 'U' 'A' 'U' 'U' 'U' 'U' 'U' 'A' 'A' 'M' 'A' 'A' 'A' 'U'
 'M' 'A' 'U' 'M' 'U' 'A' 'A' 'U' 'U' 'A' 'A' 'U' 'U' 'M' 'M' 'M' 'M' 'M'
 'U' 'U' 'M' 'M' 'M' 'M' 'M' 'U' 'M' 'M' 'M' 'U' 'M' 'M' 'M' 'M' 'U' 'M'
 'U' 'M' 'U' 'M' 'M' 'A' 'A' 'A' 'U' 'U' 'M' 'A' 'U' 'U' 'U' 'U' 'A' 'U'
 'U' 'A' 'A' 'U' 'A' 'U' 'M' 'U' 'U' 'U' 'A' 'A' 'M' 'A' 'A' 'U' 'M' 'U'
 'A' 'M' 'M' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'U' 'A' 'A' 'A' 'U' 'U'
 'A' 'A' 'U' 'U' 'U' 'A' 'U' 'U' 'A' 'U' 'U' 'A' 'A' 'A' 'A' 'M' 'U' 'A'
 'A' 'U' 'U' 'U' 'A' 'U' 'U' 'U' 'A' 'U' 'U' 'A' 'A' 'A' 'M' 'A' 'M' 'U'
 'U' 'M' 'U' 'M' 'M' 'U' 'A' 'U' 'U' 'A' 'A' 'M' 'A' 'U' 'M' 'U' 'A' 'U']"
901,4095.4545454545137,7,126,78,48,72,,7,"(1, 4095.4545454545137)",0,"['A' 'A' 'M' 'U' 'U' 'A' 'A' 'U' 'M' 'U' 'A' 'M' 'A' 'U' 'U' 'U' 'U' 'U'
 'A' 'U' 'A' 'U' 'U' 'M' 'A' 'U' 'A' 'A' 'A' 'A' 'A' 'A' 'U' 'A' 'A' 'A'
 'U' 'A' 'U' 'A' 'U' 'A' 'U' 'A' 'U' 'U' 'U' 'A' 'A' 'M' 'A' 'A' 'U' 'M'
 'M' 'A' 'M' 'M' 'U' 'A' 'A' 'U' 'A' 'A' 'A' 'U' 'U' 'M' 'M' 'M' 'M' 'U'
 'M' 'U' 'M' 'M' 'M' 'M' 'M' 'U' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'U' 'M'
 'U' 'M' 'U' 'M' 'M' 'A' 'A' 'A' 'U' 'M' 'M' 'A' 'U' 'U' 'U' 'U' 'A' 'U'
 'U' 'A' 'A' 'U' 'A' 'U' 'U' 'U' 'A' 'U' 'A' 'A' 'M' 'A' 'M' 'U' 'M' 'M'
 'U' 'M' 'M' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'U' 'A' 'A' 'A' 'U' 'A'
 'U' 'U' 'A' 'U' 'U' 'U' 'M' 'U' 'A' 'U' 'U' 'A' 'A' 'A' 'A' 'M' 'U' 'A'
 'A' 'U' 'U' 'A' 'A' 'U' 'U' 'U' 'A' 'M' 'U' 'A' 'A' 'U' 'M' 'A' 'M' 'U'
 'A' 'M' 'U' 'U' 'M' 'U' 'A' 'U' 'A' 'A' 'A' 'M' 'A' 'U' 'U' 'M' 'A' 'U']"
