Time Steps,Polymerase Count,Active Histone Count,Acetylated Histone Count,Methylated Histone Count,Unmodified Histone Count,Noisy Changes Count,Enzyme Changes Count
1,0,31,0,31,29,0,1
101,0,38,9,29,22,0,0
201,0,36,6,30,24,0,0
301,0,32,4,28,28,0,0
401,0,35,12,23,25,0,0
501,0,39,14,25,21,1,0
601,0,36,16,20,24,0,0
701,0,37,20,17,23,0,1
801,0,36,15,21,24,0,0
901,0,31,13,18,29,0,0
1001,0,30,12,18,30,0,0
1101,0,25,11,14,35,0,0
1201,0,32,16,16,28,0,0
1301,0,39,18,21,21,0,0
1401,0,33,12,21,27,0,0
1501,0,36,18,18,24,0,0
1601,0,33,19,14,27,0,1
1701,0,35,15,20,25,1,0
1801,0,33,14,19,27,0,1
1901,0,36,16,20,24,0,0
2001,0,33,11,22,27,0,0
2101,0,29,11,18,31,0,0
2201,0,33,12,21,27,0,0
2301,0,35,13,22,25,0,0
2401,0,35,9,26,25,1,0
2501,0,36,7,29,24,0,0
2601,0,41,8,33,19,0,0
2701,0,43,10,33,17,0,1
2801,0,36,9,27,24,0,0
2901,0,40,10,30,20,0,0
3001,0,36,16,20,24,0,0
3101,0,33,14,19,27,0,0
3201,0,37,12,25,23,0,0
3301,0,35,13,22,25,0,0
3401,0,39,15,24,21,0,0
3501,0,40,14,26,20,0,0
3601,0,44,11,33,16,0,0
3701,0,41,12,29,19,1,0
3801,0,38,9,29,22,0,0
3901,0,43,11,32,17,0,0
4001,0,35,8,27,25,0,1
4101,0,35,12,23,25,0,1
4201,0,33,8,25,27,0,1
4301,0,32,7,25,28,0,0
4401,0,30,12,18,30,0,0
4501,0,34,15,19,26,0,0
4601,0,32,14,18,28,0,0
4701,0,33,18,15,27,1,0
4801,0,33,19,14,27,0,0
4901,0,32,19,13,28,0,0
5001,0,32,14,18,28,0,0
5101,0,34,15,19,26,0,0
5201,0,36,18,18,24,0,0
5301,0,40,21,19,20,0,0
5401,0,42,26,16,18,0,0
5501,0,35,21,14,25,0,0
5601,1,34,19,15,26,0,0
5701,0,34,17,17,26,0,0
5801,0,36,20,16,24,0,0
5901,0,39,21,18,21,0,0
6001,0,39,19,20,21,0,0
6101,0,30,14,16,30,0,0
6201,0,40,21,19,20,0,0
6301,0,31,15,16,29,0,0
6401,0,33,16,17,27,1,0
6501,0,31,19,12,29,0,0
6601,0,38,23,15,22,0,0
6701,0,33,19,14,27,1,0
6801,0,37,19,18,23,1,0
6901,0,32,18,14,28,1,0
7001,0,33,16,17,27,0,0
7101,0,29,15,14,31,0,0
7201,0,29,19,10,31,0,0
7301,0,30,18,12,30,0,0
7401,0,33,15,18,27,0,1
7501,0,34,20,14,26,0,1
7601,0,33,19,14,27,0,0
7701,0,37,21,16,23,0,0
7801,0,41,22,19,19,0,0
7901,0,36,15,21,24,1,0
8001,0,34,12,22,26,0,0
8101,0,33,10,23,27,0,1
8201,0,35,12,23,25,1,0
8301,0,32,7,25,28,0,0
8401,0,33,10,23,27,0,0
8501,0,31,10,21,29,0,0
8601,0,29,8,21,31,0,0
8701,0,33,7,26,27,0,0
8801,0,35,5,30,25,1,0
8901,0,34,10,24,26,1,0
9001,0,34,16,18,26,0,0
9101,0,32,16,16,28,1,0
9201,0,33,18,15,27,1,0
9301,0,34,16,18,26,0,0
9401,0,30,12,18,30,0,0
9501,0,29,9,20,31,0,0
9601,0,32,11,21,28,0,0
9701,0,33,12,21,27,0,0
9801,0,29,10,19,31,0,0
9901,0,35,16,19,25,1,0
10001,0,29,12,17,31,1,0
10101,0,36,18,18,24,0,0
10201,0,37,19,18,23,0,1
10301,0,39,22,17,21,0,0
10401,0,36,19,17,24,0,0
10501,0,29,20,9,31,0,0
10601,0,28,18,10,32,1,0
10701,0,32,22,10,28,0,0
10801,0,29,16,13,31,0,0
10901,0,35,19,16,25,0,0
11001,0,29,18,11,31,0,0
11101,0,36,14,22,24,0,0
11201,0,38,11,27,22,0,0
11301,0,36,10,26,24,0,0
11401,0,36,12,24,24,0,0
11501,1,33,11,22,27,0,0
11601,0,38,12,26,22,0,0
11701,0,40,13,27,20,0,0
11801,0,38,9,29,22,0,1
11901,0,38,7,31,22,0,0
12001,0,35,7,28,25,0,1
12101,0,34,8,26,26,0,0
12201,0,34,12,22,26,0,0
12301,0,39,16,23,21,1,0
12401,0,35,14,21,25,0,0
12501,0,32,15,17,28,0,0
12601,0,35,16,19,25,0,0
12701,0,39,18,21,21,0,0
12801,0,37,19,18,23,0,0
12901,0,39,21,18,21,0,0
13001,0,31,20,11,29,0,0
13101,0,33,22,11,27,0,0
13201,0,29,16,13,31,0,0
13301,0,30,14,16,30,0,0
13401,0,39,21,18,21,0,0
13501,0,32,20,12,28,0,0
13601,0,30,19,11,30,0,0
13701,0,32,22,10,28,0,0
13801,0,32,22,10,28,0,0
13901,0,32,17,15,28,0,0
14001,0,36,23,13,24,0,1
14101,0,31,21,10,29,0,1
14201,0,37,26,11,23,0,1
14301,0,35,21,14,25,0,0
14401,0,40,26,14,20,0,0
14501,0,45,27,18,15,0,0
14601,0,39,26,13,21,0,0
14701,0,36,20,16,24,1,0
14801,0,31,17,14,29,0,0
14901,0,34,18,16,26,0,0
15001,0,29,15,14,31,0,0
15101,0,33,13,20,27,0,1
15201,0,33,13,20,27,0,0
15301,0,33,18,15,27,1,0
15401,0,28,16,12,32,0,0
15501,0,29,17,12,31,0,0
15601,0,34,19,15,26,0,0
15701,0,34,22,12,26,0,0
15801,0,39,23,16,21,0,0
15901,0,36,18,18,24,0,0
16001,0,34,17,17,26,1,0
16101,0,36,16,20,24,0,0
16201,0,35,19,16,25,1,0
16301,0,40,24,16,20,0,0
16401,0,38,19,19,22,1,0
16501,0,33,23,10,27,0,0
16601,0,31,17,14,29,0,1
16701,0,33,19,14,27,0,0
16801,0,37,24,13,23,1,0
16901,0,39,28,11,21,0,0
17001,0,34,25,9,26,0,0
17101,0,30,21,9,30,0,0
17201,0,36,25,11,24,0,1
17301,0,40,29,11,20,0,1
17401,0,40,32,8,20,0,0
17501,0,44,36,8,16,0,0
17601,0,42,31,11,18,0,0
17701,0,40,29,11,20,1,0
17801,0,39,29,10,21,0,0
17901,0,40,28,12,20,0,0
18001,0,40,29,11,20,0,0
18101,0,36,26,10,24,0,0
18201,0,36,22,14,24,0,0
18301,0,38,22,16,22,0,0
18401,0,31,17,14,29,0,0
18501,0,32,17,15,28,0,0
18601,0,29,18,11,31,1,0
18701,0,33,21,12,27,0,0
18801,0,31,20,11,29,0,0
18901,0,36,24,12,24,0,0
19001,0,31,21,10,29,0,0
