Time Steps,Polymerase Count,Active Histone Count,Acetylated Histone Count,Methylated Histone Count,Unmodified Histone Count,Noisy Changes Count,Enzyme Changes Count
1,0,31,0,31,29,0,1
101,0,37,1,36,23,0,0
201,0,44,2,42,16,0,0
301,0,48,2,46,12,0,0
401,0,45,2,43,15,0,0
501,0,49,3,46,11,0,0
601,0,50,3,47,10,0,0
701,0,47,3,44,13,0,0
801,0,45,2,43,15,0,0
901,0,44,3,41,16,0,0
1001,0,47,3,44,13,0,1
1101,0,50,3,47,10,0,0
1201,0,47,3,44,13,0,0
1301,0,48,4,44,12,0,0
1401,0,47,3,44,13,0,0
1501,0,47,2,45,13,0,0
1601,0,43,2,41,17,0,0
1701,0,42,2,40,18,0,0
1801,0,44,4,40,16,0,0
1901,0,40,4,36,20,0,0
2001,0,40,5,35,20,0,0
2101,0,36,6,30,24,0,1
2201,0,37,8,29,23,0,1
2301,0,39,8,31,21,0,0
2401,0,43,8,35,17,0,0
2501,0,45,8,37,15,0,0
2601,0,43,6,37,17,0,0
2701,0,42,7,35,18,0,0
2801,0,45,7,38,15,0,1
2901,0,44,8,36,16,0,0
3001,0,44,7,37,16,0,0
3101,0,42,7,35,18,0,0
3201,0,35,5,30,25,0,0
3301,0,37,8,29,23,0,0
3401,0,38,9,29,22,0,0
3501,0,41,13,28,19,0,0
3601,0,39,12,27,21,0,0
3701,0,35,11,24,25,0,0
3801,0,33,9,24,27,0,0
3901,0,37,9,28,23,0,1
4001,0,36,7,29,24,0,1
4101,0,43,8,35,17,0,0
4201,0,44,7,37,16,0,1
4301,0,39,7,32,21,0,0
4401,0,40,6,34,20,0,0
4501,0,44,6,38,16,0,1
4601,0,44,5,39,16,0,0
4701,0,42,4,38,18,0,0
4801,0,43,6,37,17,0,0
4901,0,45,8,37,15,0,0
5001,0,50,9,41,10,0,0
5101,0,47,11,36,13,0,0
5201,0,40,10,30,20,0,0
5301,0,40,10,30,20,0,0
5401,0,35,12,23,25,0,0
5501,0,37,17,20,23,0,1
5601,0,34,18,16,26,0,0
5701,0,30,19,11,30,0,0
5801,0,33,25,8,27,0,0
5901,0,31,23,8,29,0,0
6001,0,28,21,7,32,0,0
6101,0,33,22,11,27,0,0
6201,0,39,28,11,21,0,0
6301,0,37,22,15,23,0,0
6401,0,37,18,19,23,0,0
6501,0,37,15,22,23,0,0
6601,0,39,12,27,21,0,0
6701,0,40,9,31,20,0,0
6801,0,43,10,33,17,0,0
6901,0,42,10,32,18,0,0
7001,0,43,11,32,17,1,0
7101,0,41,8,33,19,0,0
7201,0,41,8,33,19,0,0
7301,0,42,4,38,18,0,0
7401,0,41,2,39,19,0,0
7501,0,39,1,38,21,0,0
7601,0,40,1,39,20,0,0
7701,0,38,2,36,22,1,0
7801,0,42,3,39,18,1,0
7901,0,43,5,38,17,0,0
8001,0,44,3,41,16,0,0
8101,0,42,2,40,18,0,0
8201,0,44,1,43,16,0,0
8301,0,44,2,42,16,0,0
8401,0,45,3,42,15,0,0
8501,0,44,2,42,16,0,0
8601,0,51,4,47,9,0,0
8701,0,46,4,42,14,0,0
8801,0,47,4,43,13,0,1
8901,0,44,2,42,16,0,0
9001,0,45,2,43,15,0,1
9101,0,42,3,39,18,0,1
9201,0,41,4,37,19,0,0
9301,0,41,5,36,19,0,0
9401,0,37,5,32,23,0,0
9501,0,36,5,31,24,0,0
9601,0,37,9,28,23,0,0
9701,0,39,9,30,21,0,0
9801,0,38,13,25,22,0,0
9901,0,39,20,19,21,0,0
10001,0,42,21,21,18,0,0
10101,0,38,21,17,22,0,1
10201,0,29,24,5,31,0,0
10301,0,36,33,3,24,0,0
10401,0,39,38,1,21,0,0
10501,0,44,42,2,16,0,0
10601,0,51,51,0,9,0,0
10701,0,48,48,0,12,0,0
10801,0,49,49,0,11,0,0
10901,0,51,51,0,9,0,0
11001,0,51,51,0,9,0,0
11101,0,50,48,2,10,0,0
11201,0,48,47,1,12,0,0
11301,0,50,49,1,10,0,0
11401,0,48,47,1,12,0,0
11501,0,50,48,2,10,0,0
11601,0,47,47,0,13,1,0
11701,0,46,46,0,14,0,0
11801,0,52,51,1,8,0,0
11901,0,46,45,1,14,0,0
12001,0,48,46,2,12,0,0
12101,0,46,44,2,14,0,0
12201,0,47,45,2,13,0,0
12301,0,49,47,2,11,0,0
12401,0,45,42,3,15,0,0
12501,0,45,42,3,15,0,0
12601,0,44,41,3,16,0,0
12701,0,46,43,3,14,0,0
12801,0,41,37,4,19,0,0
12901,0,42,37,5,18,0,0
13001,0,40,36,4,20,0,0
13101,0,37,32,5,23,0,0
13201,0,37,29,8,23,0,0
13301,0,41,32,9,19,0,0
13401,0,39,30,9,21,0,0
13501,0,37,29,8,23,0,0
13601,0,36,25,11,24,0,0
13701,0,38,22,16,22,0,0
13801,0,37,19,18,23,0,0
13901,0,39,15,24,21,0,1
14001,0,37,12,25,23,0,0
14101,0,31,8,23,29,0,0
14201,0,36,11,25,24,0,1
14301,0,42,6,36,18,0,0
14401,0,40,5,35,20,0,0
14501,0,41,4,37,19,0,0
14601,0,44,4,40,16,0,1
14701,0,43,3,40,17,1,0
14801,0,48,5,43,12,0,0
14901,0,48,4,44,12,0,0
15001,0,46,3,43,14,0,0
15101,0,44,4,40,16,0,0
15201,0,43,2,41,17,0,0
15301,0,40,0,40,20,0,0
15401,0,44,0,44,16,0,0
15501,0,45,1,44,15,0,0
15601,0,43,1,42,17,0,0
15701,0,43,1,42,17,0,0
15801,0,45,1,44,15,0,0
15901,0,47,2,45,13,0,0
16001,0,48,2,46,12,0,0
16101,0,46,2,44,14,0,0
16201,0,48,2,46,12,0,0
16301,0,49,3,46,11,0,0
16401,0,48,5,43,12,0,0
16501,0,45,7,38,15,0,0
16601,0,44,4,40,16,0,0
16701,0,44,7,37,16,0,0
16801,0,41,8,33,19,0,0
16901,0,42,9,33,18,0,0
17001,0,37,10,27,23,0,0
17101,0,40,17,23,20,1,0
17201,0,40,21,19,20,0,0
17301,0,40,23,17,20,0,1
17401,0,41,27,14,19,0,1
17501,0,38,29,9,22,0,1
17601,0,41,37,4,19,0,0
17701,0,42,39,3,18,0,0
17801,0,40,38,2,20,0,0
17901,0,39,39,0,21,0,0
18001,0,44,43,1,16,0,0
18101,0,42,42,0,18,0,0
18201,0,51,50,1,9,0,0
18301,0,50,49,1,10,0,0
18401,0,51,50,1,9,0,0
18501,0,52,51,1,8,0,0
18601,0,52,51,1,8,0,0
18701,0,52,51,1,8,0,0
18801,0,54,52,2,6,0,0
18901,0,51,49,2,9,0,0
19001,0,49,48,1,11,0,0
19101,0,51,50,1,9,0,0
19201,0,52,51,1,8,0,0
19301,0,53,53,0,7,0,0
19401,0,54,54,0,6,0,0
19501,0,57,57,0,3,0,0
19601,0,54,54,0,6,0,0
19701,0,53,53,0,7,0,0
19801,0,51,51,0,9,0,0
19901,0,50,50,0,10,0,0
20001,0,49,49,0,11,0,0
20101,0,50,49,1,10,1,0
20201,0,49,48,1,11,0,0
20301,0,51,50,1,9,0,0
20401,0,51,48,3,9,0,0
20501,0,49,47,2,11,0,0
20601,0,47,44,3,13,0,0
20701,0,49,46,3,11,0,0
20801,0,50,47,3,10,0,0
20901,0,50,47,3,10,0,0
21001,0,46,41,5,14,0,0
