Time Steps,Polymerase Count,Active Histone Count,Acetylated Histone Count,Methylated Histone Count,Unmodified Histone Count,Noisy Changes Count,Enzyme Changes Count
1,2,29,0,29,31,0,0
101,43,42,32,10,18,0,0
201,44,39,34,5,21,0,0
301,45,40,32,8,20,0,0
401,44,44,34,10,16,0,0
501,43,41,31,10,19,0,0
601,45,41,34,7,19,0,0
701,44,41,32,9,19,0,1
801,45,42,31,11,18,0,0
901,44,43,33,10,17,0,0
1001,45,39,29,10,21,0,1
1101,46,41,26,15,19,0,0
1201,46,39,22,17,21,0,0
1301,45,48,28,20,12,0,1
1401,44,49,27,22,11,0,0
1501,44,49,22,27,11,0,0
1601,42,46,17,29,14,0,1
1701,45,43,20,23,17,0,0
1801,45,40,19,21,20,0,0
1901,45,43,20,23,17,0,0
2001,42,41,18,23,19,0,0
2101,47,42,20,22,18,0,0
2201,46,42,19,23,18,0,0
2301,44,45,17,28,15,0,0
2401,44,46,19,27,14,0,1
2501,44,43,16,27,17,0,1
2601,46,46,14,32,14,0,0
2701,43,42,17,25,18,1,0
2801,41,43,18,25,17,0,1
2901,43,44,18,26,16,0,0
3001,42,40,17,23,20,0,0
3101,44,47,16,31,13,0,0
3201,46,44,19,25,16,0,0
3301,42,42,22,20,18,0,1
3401,44,49,26,23,11,0,0
3501,44,45,27,18,15,0,0
3601,45,39,24,15,21,0,0
3701,44,39,26,13,21,0,0
3801,45,43,28,15,17,0,0
3901,44,46,29,17,14,0,0
4001,42,46,26,20,14,0,0
4101,41,44,26,18,16,0,0
4201,41,42,23,19,18,0,0
4301,46,41,24,17,19,0,0
4401,46,47,30,17,13,0,0
4501,43,46,32,14,14,0,0
4601,41,45,33,12,15,0,0
4701,43,44,35,9,16,0,0
4801,44,44,38,6,16,0,0
4901,45,47,41,6,13,0,0
5001,42,51,44,7,9,0,0
5101,46,44,39,5,16,0,0
5201,43,45,43,2,15,0,0
5301,44,51,47,4,9,0,0
5401,44,50,46,4,10,0,0
5501,42,46,44,2,14,0,0
5601,42,44,42,2,16,0,0
5701,43,46,45,1,14,0,0
5801,45,46,45,1,14,0,0
5901,42,48,44,4,12,0,0
6001,45,47,44,3,13,0,1
6101,43,51,47,4,9,0,1
6201,44,52,49,3,8,0,0
6301,45,50,47,3,10,0,0
6401,47,51,47,4,9,0,0
6501,42,55,50,5,5,0,0
6601,43,51,48,3,9,0,0
6701,45,50,47,3,10,1,0
6801,45,50,47,3,10,0,0
6901,42,51,49,2,9,0,0
7001,41,50,48,2,10,0,0
7101,43,52,50,2,8,0,0
7201,43,52,50,2,8,0,0
7301,44,52,49,3,8,0,0
7401,44,48,45,3,12,0,0
7501,45,50,46,4,10,0,0
7601,44,47,43,4,13,0,1
7701,44,48,44,4,12,0,0
7801,45,47,44,3,13,0,0
7901,45,49,46,3,11,0,0
8001,45,44,41,3,16,0,0
8101,45,44,39,5,16,0,0
8201,45,44,41,3,16,0,0
8301,44,45,40,5,15,1,0
8401,47,44,39,5,16,0,1
8501,46,44,41,3,16,0,0
8601,47,47,45,2,13,0,0
8701,45,48,45,3,12,0,0
8801,43,48,45,3,12,0,0
8901,46,52,48,4,8,0,0
9001,45,48,45,3,12,0,0
9101,46,47,46,1,13,0,0
9201,44,54,53,1,6,0,0
9301,43,50,48,2,10,0,0
9401,44,48,47,1,12,0,0
9501,44,46,44,2,14,0,0
9601,46,49,47,2,11,0,0
9701,44,50,46,4,10,0,0
9801,44,55,50,5,5,0,0
9901,43,53,48,5,7,0,0
10001,45,50,47,3,10,0,0
10101,44,48,45,3,12,0,0
10201,46,46,43,3,14,0,0
10301,45,46,41,5,14,0,0
10401,44,45,40,5,15,0,0
10501,44,44,38,6,16,0,0
10601,42,49,42,7,11,0,0
10701,42,50,43,7,10,0,0
10801,45,46,40,6,14,1,0
10901,45,48,39,9,12,0,0
11001,43,48,34,14,12,0,0
11101,44,51,35,16,9,0,0
11201,42,47,32,15,13,0,0
11301,45,42,30,12,18,0,0
11401,46,45,32,13,15,1,0
11501,43,43,31,12,17,0,0
11601,46,44,34,10,16,0,1
11701,43,44,33,11,16,0,0
11801,45,45,32,13,15,0,0
11901,44,48,34,14,12,0,0
12001,47,50,36,14,10,0,0
12101,43,46,34,12,14,0,0
12201,42,46,34,12,14,1,0
