Time Steps,Polymerase Count,Active Histone Count,Acetylated Histone Count,Methylated Histone Count,Unmodified Histone Count,Noisy Changes Count,Enzyme Changes Count,Chromatine Array
1,0,110,82,28,88,0,0,"['A' 'A' 'U' 'A' 'U' 'U' 'U' 'A' 'A' 'U' 'U' 'U' 'U' 'A' 'A' 'U' 'U' 'A'
 'U' 'U' 'A' 'A' 'U' 'A' 'U' 'A' 'U' 'U' 'A' 'U' 'U' 'U' 'U' 'U' 'A' 'U'
 'U' 'A' 'U' 'A' 'A' 'U' 'U' 'A' 'A' 'U' 'U' 'A' 'A' 'A' 'A' 'U' 'A' 'A'
 'A' 'U' 'U' 'A' 'A' 'A' 'U' 'A' 'U' 'A' 'A' 'M' 'M' 'M' 'M' 'M' 'M' 'M'
 'M' 'U' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M'
 'M' 'M' 'M' 'M' 'U' 'U' 'U' 'U' 'U' 'A' 'U' 'U' 'A' 'A' 'U' 'A' 'A' 'A'
 'A' 'U' 'A' 'U' 'A' 'U' 'U' 'U' 'A' 'U' 'A' 'U' 'A' 'A' 'U' 'A' 'U' 'U'
 'U' 'U' 'A' 'A' 'A' 'A' 'U' 'A' 'A' 'U' 'A' 'U' 'U' 'U' 'U' 'U' 'U' 'U'
 'A' 'A' 'U' 'U' 'U' 'A' 'U' 'A' 'A' 'A' 'A' 'A' 'U' 'A' 'U' 'U' 'A' 'U'
 'U' 'U' 'U' 'A' 'A' 'U' 'U' 'A' 'U' 'U' 'U' 'A' 'A' 'U' 'U' 'A' 'A' 'A'
 'A' 'A' 'A' 'A' 'U' 'U' 'A' 'U' 'A' 'U' 'A' 'U' 'A' 'U' 'A' 'U' 'A' 'A']"
101,0,122,90,32,76,0,1,"['A' 'A' 'U' 'A' 'U' 'U' 'U' 'A' 'A' 'A' 'U' 'U' 'U' 'A' 'A' 'U' 'U' 'A'
 'U' 'U' 'A' 'A' 'U' 'A' 'U' 'A' 'U' 'U' 'A' 'U' 'U' 'M' 'U' 'A' 'A' 'U'
 'U' 'A' 'U' 'A' 'A' 'U' 'U' 'A' 'A' 'U' 'U' 'A' 'A' 'A' 'U' 'U' 'A' 'A'
 'A' 'A' 'U' 'A' 'A' 'U' 'U' 'A' 'U' 'A' 'A' 'M' 'M' 'M' 'M' 'M' 'M' 'M'
 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'U' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M'
 'M' 'M' 'M' 'U' 'M' 'U' 'A' 'A' 'A' 'A' 'U' 'U' 'A' 'A' 'U' 'A' 'A' 'A'
 'A' 'U' 'A' 'U' 'U' 'A' 'U' 'M' 'A' 'U' 'A' 'U' 'A' 'A' 'U' 'A' 'U' 'A'
 'U' 'M' 'A' 'A' 'A' 'A' 'U' 'A' 'A' 'M' 'U' 'U' 'A' 'U' 'U' 'A' 'U' 'U'
 'A' 'A' 'U' 'A' 'A' 'A' 'U' 'A' 'U' 'A' 'A' 'A' 'A' 'A' 'U' 'U' 'A' 'U'
 'U' 'U' 'U' 'U' 'U' 'U' 'A' 'A' 'U' 'U' 'U' 'A' 'A' 'U' 'U' 'A' 'A' 'A'
 'A' 'A' 'A' 'A' 'U' 'U' 'A' 'U' 'A' 'U' 'A' 'U' 'A' 'A' 'A' 'U' 'A' 'A']"
201,0,134,97,37,64,1,0,"['A' 'A' 'U' 'A' 'U' 'U' 'U' 'A' 'U' 'A' 'A' 'A' 'U' 'A' 'A' 'U' 'U' 'A'
 'U' 'U' 'A' 'A' 'U' 'A' 'U' 'A' 'U' 'U' 'U' 'A' 'U' 'M' 'U' 'A' 'A' 'M'
 'U' 'A' 'U' 'A' 'A' 'U' 'U' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'M' 'U' 'A' 'A'
 'A' 'A' 'M' 'A' 'A' 'A' 'U' 'A' 'U' 'A' 'A' 'M' 'M' 'M' 'M' 'M' 'M' 'M'
 'M' 'M' 'M' 'M' 'M' 'M' 'U' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M'
 'M' 'U' 'M' 'M' 'M' 'U' 'A' 'U' 'A' 'U' 'U' 'M' 'A' 'A' 'U' 'U' 'A' 'U'
 'A' 'U' 'A' 'U' 'A' 'A' 'U' 'M' 'A' 'U' 'A' 'U' 'U' 'A' 'U' 'A' 'U' 'A'
 'M' 'U' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'U' 'A' 'U' 'U'
 'A' 'U' 'M' 'A' 'A' 'A' 'U' 'A' 'U' 'A' 'A' 'A' 'A' 'A' 'A' 'U' 'A' 'U'
 'U' 'U' 'U' 'A' 'M' 'U' 'A' 'A' 'U' 'A' 'A' 'A' 'A' 'U' 'U' 'A' 'A' 'A'
 'A' 'A' 'A' 'A' 'A' 'U' 'A' 'U' 'A' 'U' 'A' 'U' 'A' 'A' 'A' 'U' 'U' 'U']"
301,0,139,96,43,59,0,1,"['A' 'A' 'A' 'A' 'U' 'U' 'A' 'A' 'U' 'A' 'A' 'A' 'U' 'A' 'A' 'U' 'U' 'A'
 'U' 'U' 'A' 'A' 'U' 'A' 'U' 'A' 'M' 'M' 'M' 'A' 'U' 'M' 'U' 'U' 'A' 'M'
 'U' 'U' 'U' 'A' 'A' 'M' 'U' 'A' 'A' 'A' 'A' 'A' 'U' 'A' 'U' 'U' 'U' 'A'
 'U' 'A' 'A' 'A' 'A' 'A' 'U' 'U' 'A' 'A' 'A' 'M' 'M' 'U' 'M' 'M' 'M' 'M'
 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'U' 'M' 'M' 'M' 'M' 'M' 'M' 'M'
 'M' 'M' 'M' 'M' 'M' 'U' 'A' 'U' 'A' 'A' 'U' 'U' 'A' 'A' 'U' 'U' 'A' 'M'
 'A' 'U' 'A' 'U' 'A' 'A' 'U' 'M' 'A' 'U' 'A' 'U' 'A' 'A' 'U' 'A' 'U' 'U'
 'U' 'M' 'A' 'A' 'A' 'A' 'A' 'U' 'A' 'A' 'A' 'U' 'A' 'A' 'U' 'A' 'A' 'U'
 'A' 'U' 'M' 'A' 'A' 'A' 'A' 'A' 'U' 'A' 'A' 'A' 'A' 'A' 'A' 'U' 'A' 'U'
 'M' 'U' 'A' 'A' 'M' 'U' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'U' 'U' 'A' 'A' 'A'
 'A' 'U' 'U' 'A' 'A' 'A' 'A' 'M' 'A' 'M' 'A' 'U' 'A' 'M' 'A' 'U' 'U' 'U']"
401,1,144,96,48,54,0,1,"['A' 'A' 'A' 'A' 'U' 'U' 'U' 'U' 'U' 'A' 'A' 'A' 'A' 'A' 'A' 'M' 'M' 'A'
 'U' 'U' 'A' 'A' 'U' 'A' 'M' 'U' 'M' 'M' 'M' 'A' 'A' 'M' 'U' 'U' 'A' 'M'
 'U' 'U' 'U' 'A' 'A' 'U' 'U' 'A' 'U' 'A' 'A' 'A' 'U' 'A' 'U' 'U' 'A' 'A'
 'U' 'A' 'A' 'A' 'A' 'A' 'A' 'M' 'A' 'A' 'A' 'M' 'M' 'M' 'M' 'M' 'M' 'M'
 'M' 'M' 'M' 'M' 'M' 'U' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M'
 'M' 'M' 'M' 'U' 'M' 'U' 'A' 'U' 'A' 'U' 'U' 'U' 'A' 'A' 'U' 'U' 'A' 'M'
 'A' 'M' 'A' 'U' 'A' 'A' 'A' 'U' 'A' 'U' 'A' 'U' 'A' 'A' 'U' 'A' 'U' 'M'
 'U' 'M' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'U' 'A' 'A' 'U' 'A' 'A' 'U'
 'A' 'U' 'M' 'A' 'A' 'A' 'A' 'A' 'U' 'A' 'A' 'A' 'A' 'A' 'A' 'U' 'A' 'M'
 'M' 'U' 'A' 'A' 'M' 'U' 'A' 'A' 'U' 'A' 'A' 'A' 'A' 'M' 'U' 'A' 'A' 'A'
 'A' 'U' 'U' 'A' 'A' 'A' 'A' 'U' 'A' 'M' 'A' 'U' 'A' 'M' 'A' 'U' 'U' 'U']"
501,0,144,93,51,54,0,0,"['A' 'U' 'A' 'A' 'U' 'A' 'U' 'A' 'U' 'A' 'A' 'A' 'A' 'A' 'A' 'M' 'M' 'A'
 'U' 'U' 'A' 'A' 'U' 'A' 'M' 'U' 'M' 'M' 'M' 'A' 'A' 'M' 'U' 'U' 'A' 'M'
 'U' 'U' 'U' 'A' 'A' 'U' 'U' 'A' 'M' 'A' 'A' 'A' 'U' 'A' 'U' 'A' 'A' 'A'
 'U' 'A' 'A' 'U' 'A' 'A' 'A' 'M' 'A' 'A' 'A' 'M' 'M' 'M' 'M' 'M' 'M' 'M'
 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'U' 'M' 'M' 'M' 'U' 'M' 'M' 'M' 'M' 'M' 'M'
 'M' 'M' 'M' 'M' 'M' 'U' 'A' 'U' 'A' 'U' 'U' 'U' 'A' 'A' 'U' 'U' 'A' 'M'
 'A' 'M' 'A' 'A' 'A' 'A' 'A' 'U' 'A' 'U' 'U' 'A' 'A' 'A' 'U' 'A' 'U' 'M'
 'U' 'M' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'M' 'U' 'M' 'U'
 'A' 'U' 'M' 'A' 'A' 'U' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'U' 'A' 'U' 'U' 'M'
 'M' 'U' 'A' 'A' 'M' 'A' 'A' 'U' 'A' 'A' 'A' 'A' 'A' 'M' 'U' 'A' 'U' 'A'
 'A' 'U' 'U' 'A' 'A' 'U' 'A' 'U' 'A' 'M' 'U' 'U' 'A' 'M' 'A' 'U' 'U' 'U']"
601,0,139,90,49,59,0,0,"['A' 'A' 'A' 'A' 'U' 'A' 'U' 'U' 'U' 'A' 'A' 'A' 'A' 'A' 'A' 'M' 'M' 'A'
 'U' 'U' 'A' 'A' 'U' 'A' 'M' 'U' 'M' 'M' 'M' 'U' 'A' 'U' 'U' 'U' 'A' 'M'
 'U' 'U' 'U' 'A' 'A' 'U' 'U' 'A' 'U' 'A' 'U' 'A' 'U' 'A' 'M' 'A' 'U' 'A'
 'M' 'A' 'A' 'U' 'A' 'A' 'A' 'M' 'A' 'U' 'A' 'M' 'M' 'M' 'U' 'M' 'M' 'M'
 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'U' 'M' 'M' 'M' 'M'
 'M' 'M' 'M' 'M' 'M' 'U' 'A' 'A' 'A' 'U' 'U' 'U' 'A' 'A' 'U' 'U' 'A' 'M'
 'A' 'M' 'U' 'A' 'A' 'U' 'A' 'U' 'A' 'U' 'A' 'A' 'U' 'A' 'U' 'A' 'U' 'M'
 'U' 'M' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'M' 'U' 'M' 'U'
 'A' 'U' 'M' 'A' 'A' 'U' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'U' 'U' 'M'
 'M' 'U' 'A' 'A' 'U' 'A' 'U' 'U' 'U' 'A' 'U' 'A' 'A' 'M' 'A' 'A' 'U' 'A'
 'A' 'U' 'U' 'A' 'A' 'A' 'A' 'U' 'A' 'M' 'U' 'A' 'A' 'U' 'A' 'U' 'U' 'A']"
701,0,137,86,51,61,0,0,"['A' 'A' 'A' 'A' 'U' 'A' 'U' 'U' 'U' 'A' 'A' 'A' 'A' 'A' 'A' 'M' 'U' 'A'
 'U' 'M' 'A' 'A' 'U' 'A' 'M' 'U' 'U' 'M' 'M' 'U' 'A' 'U' 'U' 'M' 'A' 'M'
 'U' 'U' 'A' 'A' 'A' 'U' 'U' 'A' 'A' 'A' 'U' 'A' 'M' 'U' 'M' 'A' 'U' 'A'
 'U' 'A' 'A' 'U' 'U' 'U' 'A' 'U' 'A' 'U' 'A' 'M' 'M' 'M' 'M' 'M' 'M' 'M'
 'M' 'M' 'U' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M'
 'M' 'M' 'M' 'U' 'M' 'U' 'A' 'A' 'A' 'U' 'U' 'M' 'A' 'A' 'M' 'U' 'A' 'M'
 'A' 'M' 'A' 'A' 'A' 'U' 'A' 'A' 'A' 'U' 'A' 'A' 'U' 'A' 'U' 'A' 'U' 'M'
 'U' 'M' 'A' 'A' 'A' 'A' 'A' 'M' 'A' 'A' 'A' 'A' 'A' 'U' 'U' 'U' 'A' 'U'
 'A' 'U' 'M' 'A' 'A' 'U' 'A' 'A' 'A' 'A' 'A' 'A' 'U' 'A' 'A' 'U' 'M' 'M'
 'M' 'U' 'A' 'U' 'U' 'A' 'U' 'U' 'U' 'A' 'U' 'A' 'A' 'M' 'A' 'A' 'U' 'A'
 'M' 'U' 'A' 'U' 'A' 'A' 'A' 'U' 'A' 'M' 'U' 'U' 'A' 'U' 'A' 'U' 'U' 'A']"
801,0,144,91,53,54,1,0,"['A' 'U' 'A' 'U' 'U' 'A' 'U' 'U' 'U' 'A' 'A' 'A' 'U' 'A' 'A' 'M' 'U' 'A'
 'A' 'U' 'A' 'A' 'U' 'A' 'M' 'M' 'U' 'M' 'U' 'U' 'A' 'A' 'U' 'M' 'A' 'M'
 'A' 'U' 'A' 'A' 'A' 'U' 'M' 'A' 'A' 'A' 'U' 'A' 'M' 'U' 'M' 'A' 'U' 'A'
 'U' 'A' 'A' 'U' 'A' 'U' 'A' 'U' 'U' 'A' 'A' 'M' 'M' 'M' 'M' 'M' 'M' 'M'
 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'U' 'M' 'M' 'M' 'M' 'M'
 'M' 'M' 'M' 'M' 'U' 'U' 'A' 'A' 'A' 'M' 'U' 'M' 'A' 'A' 'M' 'U' 'A' 'M'
 'A' 'M' 'A' 'A' 'A' 'A' 'A' 'U' 'A' 'U' 'A' 'A' 'U' 'A' 'U' 'A' 'A' 'M'
 'U' 'M' 'A' 'A' 'A' 'A' 'A' 'A' 'U' 'A' 'A' 'A' 'A' 'U' 'U' 'U' 'A' 'U'
 'A' 'U' 'M' 'A' 'A' 'M' 'A' 'A' 'A' 'A' 'A' 'A' 'U' 'A' 'A' 'U' 'M' 'M'
 'M' 'A' 'A' 'U' 'U' 'A' 'U' 'A' 'U' 'M' 'A' 'A' 'A' 'M' 'A' 'A' 'U' 'A'
 'M' 'U' 'U' 'A' 'A' 'A' 'A' 'U' 'A' 'M' 'U' 'U' 'A' 'A' 'A' 'U' 'U' 'A']"
901,0,141,90,51,57,0,0,"['A' 'U' 'A' 'U' 'U' 'A' 'M' 'U' 'U' 'U' 'A' 'A' 'U' 'A' 'A' 'M' 'U' 'A'
 'A' 'A' 'A' 'A' 'U' 'U' 'U' 'M' 'U' 'U' 'A' 'A' 'A' 'A' 'U' 'U' 'A' 'M'
 'A' 'U' 'A' 'U' 'A' 'U' 'U' 'A' 'A' 'A' 'U' 'U' 'M' 'U' 'M' 'A' 'U' 'A'
 'U' 'A' 'A' 'U' 'A' 'A' 'U' 'U' 'U' 'A' 'A' 'M' 'M' 'M' 'M' 'M' 'M' 'M'
 'M' 'M' 'M' 'U' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'U'
 'M' 'M' 'M' 'M' 'M' 'M' 'A' 'A' 'M' 'U' 'U' 'M' 'A' 'A' 'M' 'U' 'A' 'M'
 'A' 'M' 'A' 'A' 'A' 'A' 'A' 'U' 'A' 'A' 'A' 'A' 'U' 'A' 'U' 'A' 'A' 'M'
 'M' 'M' 'A' 'A' 'A' 'A' 'M' 'A' 'U' 'A' 'A' 'A' 'A' 'U' 'U' 'U' 'A' 'U'
 'A' 'U' 'M' 'A' 'A' 'U' 'A' 'U' 'A' 'A' 'A' 'A' 'A' 'U' 'A' 'U' 'M' 'M'
 'M' 'A' 'A' 'U' 'U' 'A' 'U' 'A' 'U' 'M' 'A' 'A' 'A' 'U' 'A' 'A' 'A' 'A'
 'M' 'U' 'A' 'A' 'A' 'A' 'A' 'U' 'A' 'M' 'U' 'U' 'A' 'A' 'A' 'U' 'U' 'A']"
