Time Steps,Polymerase Count,Active Histone Count,Acetylated Histone Count,Methylated Histone Count,Unmodified Histone Count,Noisy Changes Count,Enzyme Changes Count,Chromatine Array
1,1,104,1,103,94,0,0,"['M' 'M' 'U' 'M' 'U' 'U' 'U' 'M' 'M' 'U' 'A' 'U' 'U' 'M' 'M' 'U' 'U' 'M'
 'U' 'U' 'M' 'M' 'U' 'M' 'U' 'M' 'U' 'U' 'M' 'U' 'U' 'U' 'U' 'U' 'M' 'U'
 'U' 'M' 'U' 'M' 'M' 'U' 'U' 'M' 'M' 'U' 'U' 'M' 'M' 'M' 'M' 'U' 'M' 'M'
 'M' 'U' 'U' 'M' 'M' 'M' 'U' 'M' 'U' 'M' 'M' 'M' 'M' 'U' 'M' 'M' 'M' 'M'
 'M' 'U' 'M' 'M' 'M' 'U' 'M' 'U' 'U' 'M' 'U' 'M' 'U' 'M' 'M' 'U' 'M' 'M'
 'U' 'M' 'M' 'M' 'M' 'U' 'U' 'U' 'U' 'M' 'U' 'U' 'M' 'M' 'U' 'M' 'M' 'M'
 'M' 'U' 'M' 'U' 'M' 'U' 'U' 'U' 'M' 'U' 'M' 'U' 'M' 'M' 'U' 'M' 'U' 'U'
 'U' 'U' 'M' 'M' 'M' 'M' 'U' 'M' 'M' 'U' 'M' 'U' 'U' 'U' 'U' 'U' 'U' 'U'
 'M' 'M' 'U' 'U' 'U' 'M' 'U' 'M' 'M' 'M' 'M' 'M' 'U' 'M' 'U' 'U' 'M' 'U'
 'U' 'U' 'U' 'M' 'M' 'U' 'U' 'M' 'U' 'U' 'U' 'M' 'M' 'U' 'U' 'M' 'M' 'M'
 'M' 'M' 'M' 'M' 'U' 'U' 'M' 'U' 'M' 'U' 'M' 'U' 'M' 'U' 'M' 'U' 'M' 'M']"
101,2,136,48,88,62,0,0,"['M' 'M' 'U' 'M' 'U' 'M' 'U' 'M' 'M' 'U' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A'
 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'U' 'A' 'A' 'A' 'A' 'A' 'U' 'A'
 'A' 'U' 'A' 'A' 'A' 'A' 'A' 'U' 'M' 'A' 'A' 'U' 'U' 'U' 'A' 'U' 'A' 'U'
 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'M' 'M' 'M' 'M' 'U' 'M' 'M' 'M' 'M' 'M'
 'M' 'M' 'U' 'M' 'U' 'M' 'M' 'M' 'M' 'M' 'U' 'M' 'M' 'U' 'M' 'M' 'U' 'M'
 'M' 'M' 'U' 'U' 'U' 'A' 'U' 'U' 'M' 'M' 'U' 'U' 'M' 'M' 'M' 'M' 'M' 'U'
 'M' 'U' 'M' 'U' 'M' 'U' 'U' 'M' 'M' 'U' 'M' 'U' 'M' 'M' 'U' 'M' 'U' 'U'
 'U' 'U' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'U' 'M' 'U' 'U' 'M' 'U' 'U' 'A' 'U'
 'M' 'M' 'A' 'M' 'U' 'M' 'A' 'M' 'M' 'M' 'M' 'M' 'U' 'M' 'U' 'U' 'M' 'U'
 'A' 'M' 'U' 'M' 'M' 'U' 'U' 'M' 'U' 'U' 'U' 'U' 'M' 'U' 'U' 'M' 'M' 'M'
 'M' 'M' 'M' 'M' 'M' 'U' 'M' 'U' 'M' 'A' 'M' 'M' 'M' 'U' 'M' 'U' 'M' 'M']"
201,2,142,62,80,56,0,1,"['M' 'M' 'U' 'M' 'U' 'M' 'U' 'M' 'M' 'U' 'U' 'A' 'A' 'A' 'A' 'U' 'A' 'U'
 'A' 'A' 'U' 'A' 'A' 'U' 'A' 'A' 'A' 'A' 'U' 'U' 'U' 'A' 'A' 'A' 'A' 'A'
 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'U' 'A' 'U' 'A' 'A' 'A' 'A' 'A' 'A' 'A'
 'A' 'A' 'U' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'M' 'M' 'U' 'M' 'M' 'U' 'U'
 'M' 'U' 'M' 'M' 'M' 'M' 'M' 'U' 'M' 'M' 'M' 'U' 'U' 'U' 'M' 'M' 'M' 'M'
 'M' 'M' 'U' 'M' 'M' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'U' 'U' 'A' 'U' 'A'
 'M' 'U' 'M' 'U' 'M' 'U' 'U' 'M' 'M' 'U' 'M' 'U' 'M' 'M' 'U' 'M' 'U' 'U'
 'M' 'U' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'U' 'M' 'U' 'U' 'M' 'U' 'U' 'A' 'U'
 'M' 'U' 'A' 'M' 'A' 'M' 'A' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'U' 'M' 'M' 'M'
 'A' 'M' 'M' 'M' 'M' 'U' 'M' 'M' 'U' 'U' 'A' 'U' 'M' 'U' 'A' 'M' 'M' 'U'
 'M' 'M' 'M' 'M' 'M' 'U' 'M' 'U' 'M' 'A' 'M' 'U' 'M' 'U' 'M' 'U' 'M' 'M']"
301,2,151,95,56,47,0,0,"['M' 'M' 'U' 'M' 'U' 'M' 'A' 'M' 'U' 'A' 'A' 'A' 'A' 'A' 'U' 'A' 'A' 'A'
 'U' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A'
 'A' 'A' 'U' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A'
 'A' 'U' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'U' 'M' 'U' 'M' 'U' 'U' 'M' 'M'
 'U' 'U' 'U' 'U' 'M' 'M' 'M' 'U' 'M' 'M' 'M' 'M' 'M' 'U' 'M' 'M' 'M' 'M'
 'M' 'M' 'M' 'M' 'M' 'A' 'A' 'A' 'A' 'U' 'A' 'A' 'A' 'A' 'A' 'U' 'A' 'A'
 'A' 'A' 'A' 'A' 'U' 'A' 'A' 'U' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A'
 'U' 'A' 'U' 'U' 'U' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'U' 'U' 'U' 'A' 'U'
 'M' 'U' 'A' 'M' 'A' 'M' 'A' 'M' 'M' 'M' 'M' 'U' 'M' 'M' 'U' 'M' 'M' 'U'
 'A' 'M' 'M' 'M' 'M' 'U' 'M' 'M' 'U' 'U' 'A' 'U' 'M' 'U' 'A' 'M' 'M' 'U'
 'M' 'M' 'U' 'U' 'M' 'U' 'M' 'U' 'M' 'U' 'M' 'U' 'M' 'U' 'M' 'U' 'M' 'M']"
401,1,149,96,53,49,0,0,"['M' 'M' 'U' 'A' 'U' 'M' 'A' 'M' 'U' 'A' 'A' 'A' 'A' 'A' 'M' 'A' 'A' 'A'
 'A' 'A' 'A' 'A' 'U' 'A' 'U' 'M' 'A' 'U' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A'
 'A' 'A' 'U' 'A' 'A' 'A' 'U' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'U' 'A' 'A'
 'A' 'A' 'A' 'A' 'A' 'A' 'U' 'A' 'A' 'A' 'A' 'U' 'M' 'U' 'U' 'M' 'M' 'M'
 'M' 'U' 'U' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'U'
 'U' 'U' 'M' 'M' 'U' 'A' 'A' 'A' 'A' 'U' 'A' 'A' 'A' 'A' 'A' 'U' 'A' 'A'
 'U' 'A' 'A' 'A' 'M' 'A' 'A' 'U' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A'
 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'U' 'A' 'A' 'U' 'M' 'A' 'A' 'U'
 'M' 'U' 'A' 'M' 'A' 'M' 'A' 'M' 'M' 'M' 'M' 'U' 'U' 'M' 'U' 'M' 'M' 'A'
 'A' 'M' 'M' 'M' 'U' 'U' 'M' 'U' 'U' 'U' 'U' 'U' 'M' 'U' 'A' 'M' 'U' 'U'
 'M' 'M' 'U' 'A' 'M' 'U' 'M' 'U' 'U' 'U' 'M' 'U' 'U' 'U' 'M' 'U' 'M' 'M']"
501,2,143,94,49,55,0,1,"['M' 'A' 'A' 'A' 'U' 'M' 'A' 'M' 'M' 'A' 'U' 'A' 'A' 'A' 'M' 'A' 'A' 'A'
 'A' 'U' 'A' 'U' 'U' 'U' 'U' 'M' 'A' 'U' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A'
 'A' 'A' 'M' 'A' 'A' 'A' 'A' 'A' 'A' 'U' 'A' 'A' 'A' 'A' 'A' 'A' 'U' 'A'
 'A' 'A' 'U' 'A' 'A' 'A' 'M' 'A' 'A' 'A' 'A' 'M' 'M' 'M' 'M' 'U' 'M' 'M'
 'M' 'M' 'U' 'M' 'U' 'M' 'M' 'U' 'U' 'M' 'M' 'U' 'M' 'M' 'M' 'U' 'U' 'M'
 'M' 'M' 'M' 'M' 'U' 'A' 'A' 'A' 'U' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A'
 'A' 'A' 'U' 'U' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A'
 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'U' 'A' 'A' 'A' 'A' 'A' 'U' 'M' 'A' 'A' 'U'
 'M' 'M' 'U' 'U' 'A' 'U' 'A' 'M' 'U' 'M' 'M' 'U' 'U' 'M' 'U' 'M' 'U' 'A'
 'A' 'M' 'M' 'U' 'U' 'U' 'M' 'U' 'U' 'U' 'U' 'U' 'M' 'U' 'A' 'M' 'U' 'U'
 'M' 'M' 'U' 'U' 'M' 'U' 'U' 'U' 'U' 'U' 'M' 'U' 'A' 'U' 'M' 'U' 'M' 'M']"
601,1,138,94,44,60,0,1,"['M' 'A' 'U' 'A' 'U' 'M' 'A' 'M' 'U' 'A' 'U' 'A' 'A' 'A' 'M' 'U' 'A' 'A'
 'A' 'U' 'A' 'U' 'A' 'A' 'U' 'M' 'A' 'U' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A'
 'A' 'U' 'U' 'A' 'A' 'A' 'A' 'A' 'A' 'U' 'A' 'U' 'A' 'A' 'U' 'A' 'U' 'A'
 'A' 'A' 'U' 'A' 'A' 'A' 'M' 'A' 'A' 'U' 'A' 'M' 'M' 'M' 'M' 'M' 'M' 'M'
 'M' 'M' 'M' 'U' 'M' 'M' 'M' 'M' 'M' 'U' 'U' 'M' 'U' 'U' 'U' 'U' 'M' 'M'
 'M' 'U' 'M' 'U' 'M' 'A' 'A' 'U' 'U' 'A' 'U' 'A' 'A' 'A' 'A' 'A' 'A' 'A'
 'A' 'U' 'U' 'U' 'M' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A'
 'A' 'A' 'A' 'A' 'A' 'A' 'U' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'M' 'A' 'A' 'U'
 'M' 'U' 'U' 'U' 'A' 'U' 'U' 'U' 'U' 'M' 'M' 'U' 'U' 'M' 'A' 'M' 'U' 'A'
 'A' 'M' 'M' 'U' 'A' 'U' 'M' 'A' 'U' 'U' 'U' 'A' 'M' 'U' 'A' 'M' 'U' 'A'
 'M' 'M' 'U' 'U' 'U' 'U' 'U' 'U' 'A' 'A' 'M' 'A' 'A' 'U' 'M' 'U' 'U' 'M']"
701,1,141,94,47,57,0,0,"['M' 'A' 'U' 'A' 'U' 'M' 'A' 'M' 'A' 'A' 'A' 'A' 'A' 'A' 'M' 'U' 'A' 'A'
 'U' 'U' 'A' 'U' 'A' 'U' 'U' 'M' 'A' 'U' 'A' 'A' 'A' 'A' 'U' 'A' 'U' 'A'
 'M' 'U' 'U' 'A' 'A' 'A' 'A' 'A' 'A' 'U' 'A' 'U' 'A' 'A' 'U' 'A' 'U' 'A'
 'A' 'U' 'U' 'U' 'A' 'A' 'M' 'A' 'A' 'A' 'A' 'M' 'U' 'M' 'M' 'U' 'U' 'M'
 'U' 'M' 'M' 'M' 'M' 'U' 'U' 'M' 'M' 'M' 'M' 'M' 'U' 'M' 'M' 'U' 'M' 'M'
 'M' 'M' 'U' 'M' 'M' 'A' 'A' 'U' 'U' 'A' 'U' 'A' 'A' 'A' 'A' 'A' 'A' 'A'
 'A' 'U' 'U' 'U' 'M' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A'
 'A' 'A' 'A' 'A' 'A' 'A' 'U' 'A' 'A' 'A' 'A' 'A' 'A' 'U' 'M' 'A' 'A' 'U'
 'M' 'A' 'U' 'U' 'A' 'A' 'A' 'M' 'U' 'M' 'M' 'U' 'U' 'M' 'A' 'M' 'U' 'A'
 'A' 'M' 'M' 'U' 'A' 'M' 'U' 'A' 'A' 'U' 'U' 'A' 'M' 'A' 'A' 'M' 'A' 'U'
 'M' 'M' 'M' 'U' 'U' 'U' 'U' 'U' 'A' 'A' 'M' 'A' 'A' 'U' 'M' 'U' 'U' 'M']"
801,1,138,91,47,60,0,0,"['M' 'A' 'U' 'U' 'U' 'M' 'A' 'M' 'A' 'A' 'U' 'A' 'A' 'A' 'M' 'U' 'A' 'A'
 'U' 'U' 'A' 'U' 'A' 'U' 'U' 'U' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'U' 'U'
 'M' 'A' 'U' 'U' 'A' 'A' 'A' 'A' 'A' 'U' 'U' 'U' 'A' 'A' 'U' 'A' 'U' 'A'
 'A' 'U' 'U' 'U' 'A' 'A' 'M' 'A' 'A' 'A' 'A' 'U' 'U' 'U' 'M' 'U' 'M' 'U'
 'M' 'M' 'M' 'M' 'M' 'M' 'U' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'U' 'M' 'M'
 'U' 'M' 'M' 'M' 'U' 'A' 'A' 'M' 'U' 'A' 'A' 'U' 'A' 'U' 'A' 'A' 'A' 'A'
 'A' 'U' 'U' 'U' 'M' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'U'
 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'U' 'A' 'A' 'U' 'U' 'A' 'A' 'A'
 'M' 'A' 'U' 'U' 'A' 'A' 'A' 'M' 'A' 'M' 'M' 'U' 'U' 'M' 'A' 'M' 'U' 'A'
 'A' 'M' 'M' 'U' 'A' 'M' 'U' 'A' 'A' 'U' 'U' 'M' 'M' 'A' 'A' 'M' 'A' 'U'
 'M' 'U' 'M' 'U' 'U' 'U' 'U' 'M' 'A' 'A' 'M' 'A' 'A' 'U' 'U' 'M' 'U' 'M']"
901,1,136,90,46,62,0,0,"['M' 'A' 'U' 'A' 'U' 'M' 'A' 'U' 'A' 'A' 'U' 'A' 'U' 'A' 'M' 'M' 'A' 'U'
 'M' 'U' 'A' 'U' 'A' 'M' 'U' 'U' 'U' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'U' 'U'
 'M' 'A' 'U' 'U' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'U' 'A' 'A' 'U' 'A' 'M' 'A'
 'U' 'U' 'U' 'U' 'A' 'A' 'M' 'A' 'A' 'A' 'A' 'M' 'U' 'U' 'M' 'M' 'M' 'M'
 'M' 'U' 'M' 'U' 'M' 'M' 'M' 'U' 'M' 'U' 'U' 'U' 'M' 'M' 'U' 'M' 'M' 'M'
 'M' 'M' 'M' 'M' 'M' 'U' 'A' 'M' 'U' 'A' 'A' 'U' 'A' 'U' 'A' 'A' 'A' 'A'
 'A' 'U' 'U' 'A' 'U' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'U' 'U'
 'U' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'U' 'A' 'A' 'U' 'U' 'A' 'A' 'A'
 'M' 'A' 'U' 'U' 'A' 'A' 'A' 'M' 'A' 'U' 'M' 'U' 'U' 'M' 'A' 'M' 'U' 'A'
 'A' 'M' 'M' 'U' 'A' 'M' 'U' 'A' 'A' 'U' 'U' 'U' 'M' 'A' 'A' 'M' 'A' 'U'
 'M' 'M' 'U' 'U' 'U' 'U' 'U' 'U' 'A' 'A' 'M' 'A' 'A' 'U' 'A' 'M' 'M' 'A']"
