Time Steps,Polymerase Count,Active Histone Count,Acetylated Histone Count,Methylated Histone Count,Unmodified Histone Count,Noisy Changes Count,Enzyme Changes Count,Chromatine Array
1,1,107,82,25,91,0,0,"['A' 'A' 'U' 'A' 'U' 'U' 'U' 'A' 'A' 'U' 'U' 'U' 'U' 'A' 'A' 'U' 'U' 'A'
 'U' 'U' 'A' 'A' 'U' 'A' 'U' 'A' 'U' 'U' 'A' 'U' 'U' 'U' 'U' 'U' 'A' 'U'
 'U' 'A' 'U' 'A' 'A' 'U' 'U' 'A' 'A' 'U' 'U' 'A' 'A' 'A' 'A' 'U' 'A' 'A'
 'A' 'U' 'U' 'A' 'A' 'A' 'U' 'A' 'U' 'A' 'A' 'M' 'M' 'U' 'M' 'M' 'M' 'M'
 'M' 'U' 'M' 'M' 'M' 'U' 'M' 'M' 'U' 'M' 'U' 'M' 'M' 'M' 'M' 'M' 'M' 'M'
 'M' 'M' 'M' 'M' 'M' 'U' 'U' 'U' 'U' 'A' 'U' 'U' 'A' 'A' 'U' 'A' 'A' 'A'
 'A' 'U' 'A' 'U' 'A' 'U' 'U' 'U' 'A' 'U' 'A' 'U' 'A' 'A' 'U' 'A' 'U' 'U'
 'U' 'U' 'A' 'A' 'A' 'A' 'U' 'A' 'A' 'U' 'A' 'U' 'U' 'U' 'U' 'U' 'U' 'U'
 'A' 'A' 'U' 'U' 'U' 'A' 'U' 'A' 'A' 'A' 'A' 'A' 'U' 'A' 'U' 'U' 'A' 'U'
 'U' 'U' 'U' 'A' 'A' 'U' 'U' 'A' 'U' 'U' 'U' 'A' 'A' 'U' 'U' 'A' 'A' 'A'
 'A' 'A' 'A' 'A' 'U' 'U' 'A' 'U' 'A' 'U' 'A' 'U' 'A' 'U' 'A' 'U' 'A' 'A']"
101,4,123,94,29,75,0,1,"['A' 'A' 'U' 'U' 'U' 'U' 'U' 'A' 'A' 'M' 'U' 'U' 'A' 'A' 'U' 'U' 'U' 'A'
 'U' 'U' 'A' 'A' 'U' 'A' 'A' 'A' 'U' 'A' 'A' 'A' 'U' 'U' 'A' 'U' 'A' 'U'
 'U' 'A' 'U' 'A' 'A' 'U' 'U' 'A' 'A' 'U' 'U' 'U' 'A' 'A' 'A' 'U' 'A' 'A'
 'A' 'U' 'U' 'A' 'A' 'A' 'U' 'A' 'U' 'A' 'A' 'U' 'M' 'M' 'U' 'U' 'M' 'M'
 'M' 'U' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'U'
 'M' 'M' 'M' 'M' 'M' 'U' 'U' 'A' 'U' 'A' 'U' 'U' 'A' 'A' 'U' 'A' 'A' 'A'
 'A' 'U' 'A' 'U' 'U' 'U' 'A' 'U' 'A' 'U' 'A' 'U' 'U' 'A' 'M' 'A' 'U' 'U'
 'U' 'U' 'U' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'U' 'U' 'U' 'M' 'U'
 'A' 'A' 'U' 'A' 'A' 'A' 'U' 'A' 'A' 'A' 'A' 'A' 'U' 'A' 'U' 'U' 'A' 'A'
 'U' 'A' 'U' 'A' 'A' 'U' 'U' 'A' 'U' 'U' 'A' 'A' 'A' 'U' 'U' 'A' 'A' 'A'
 'A' 'A' 'A' 'A' 'U' 'M' 'A' 'A' 'A' 'U' 'A' 'A' 'A' 'U' 'A' 'U' 'A' 'A']"
201,2,129,96,33,69,0,0,"['A' 'A' 'U' 'U' 'U' 'U' 'U' 'A' 'A' 'U' 'U' 'U' 'A' 'A' 'U' 'U' 'U' 'A'
 'U' 'U' 'A' 'A' 'A' 'A' 'A' 'A' 'U' 'A' 'A' 'A' 'U' 'U' 'A' 'U' 'A' 'U'
 'U' 'A' 'U' 'A' 'A' 'U' 'M' 'A' 'A' 'U' 'U' 'U' 'A' 'A' 'A' 'U' 'A' 'A'
 'A' 'A' 'U' 'A' 'A' 'A' 'U' 'A' 'U' 'A' 'A' 'M' 'M' 'M' 'M' 'U' 'M' 'M'
 'M' 'M' 'M' 'U' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'U' 'U' 'M' 'M'
 'M' 'M' 'M' 'M' 'U' 'U' 'A' 'A' 'U' 'A' 'A' 'U' 'A' 'A' 'U' 'A' 'A' 'A'
 'A' 'U' 'A' 'U' 'U' 'U' 'A' 'U' 'U' 'U' 'A' 'U' 'A' 'A' 'M' 'U' 'U' 'U'
 'A' 'U' 'U' 'A' 'U' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'U' 'U' 'U' 'M' 'U'
 'A' 'U' 'U' 'A' 'A' 'A' 'U' 'A' 'A' 'A' 'A' 'A' 'U' 'A' 'U' 'U' 'A' 'A'
 'M' 'U' 'U' 'A' 'A' 'U' 'U' 'A' 'M' 'A' 'A' 'A' 'A' 'U' 'M' 'A' 'A' 'A'
 'A' 'A' 'A' 'A' 'M' 'M' 'A' 'A' 'A' 'U' 'A' 'U' 'A' 'U' 'A' 'A' 'A' 'A']"
301,3,130,98,32,68,0,0,"['A' 'A' 'U' 'U' 'U' 'U' 'U' 'A' 'A' 'U' 'U' 'U' 'A' 'A' 'A' 'U' 'U' 'A'
 'U' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'U' 'A' 'A' 'U' 'U' 'A' 'A' 'U' 'A' 'M'
 'U' 'A' 'U' 'U' 'A' 'U' 'M' 'A' 'A' 'U' 'U' 'A' 'A' 'A' 'A' 'U' 'A' 'A'
 'A' 'A' 'U' 'A' 'A' 'A' 'U' 'A' 'U' 'A' 'A' 'M' 'M' 'M' 'M' 'M' 'U' 'M'
 'M' 'U' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'U'
 'M' 'M' 'U' 'U' 'M' 'U' 'A' 'A' 'U' 'A' 'A' 'U' 'U' 'A' 'U' 'A' 'A' 'A'
 'A' 'U' 'A' 'U' 'U' 'A' 'A' 'U' 'U' 'U' 'A' 'U' 'A' 'A' 'U' 'A' 'U' 'U'
 'A' 'U' 'U' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'U' 'U' 'U' 'U' 'U'
 'A' 'A' 'U' 'A' 'A' 'A' 'U' 'A' 'A' 'A' 'A' 'A' 'U' 'A' 'U' 'U' 'U' 'A'
 'M' 'U' 'U' 'U' 'A' 'U' 'A' 'A' 'M' 'A' 'A' 'A' 'A' 'U' 'U' 'A' 'A' 'A'
 'A' 'U' 'A' 'A' 'M' 'M' 'A' 'A' 'A' 'U' 'A' 'M' 'U' 'U' 'A' 'A' 'A' 'A']"
401,1,126,92,34,72,0,0,"['A' 'A' 'M' 'U' 'U' 'U' 'U' 'A' 'U' 'U' 'U' 'U' 'A' 'A' 'A' 'A' 'U' 'A'
 'U' 'U' 'U' 'A' 'U' 'U' 'A' 'U' 'M' 'U' 'A' 'U' 'U' 'U' 'A' 'U' 'A' 'M'
 'U' 'A' 'U' 'U' 'A' 'A' 'M' 'A' 'U' 'U' 'U' 'U' 'A' 'A' 'A' 'U' 'A' 'A'
 'A' 'A' 'A' 'A' 'A' 'A' 'M' 'A' 'U' 'A' 'U' 'M' 'M' 'M' 'M' 'M' 'M' 'M'
 'U' 'M' 'M' 'U' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'U' 'M' 'U' 'M'
 'M' 'M' 'M' 'M' 'U' 'U' 'A' 'A' 'U' 'A' 'A' 'U' 'U' 'A' 'U' 'A' 'A' 'A'
 'A' 'U' 'A' 'U' 'A' 'A' 'A' 'A' 'U' 'U' 'A' 'U' 'A' 'A' 'U' 'A' 'U' 'A'
 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'U' 'U' 'U' 'U' 'A'
 'U' 'A' 'U' 'A' 'A' 'U' 'U' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'U' 'U' 'U' 'U'
 'M' 'U' 'U' 'U' 'A' 'U' 'A' 'A' 'M' 'A' 'A' 'A' 'A' 'U' 'U' 'A' 'U' 'A'
 'A' 'U' 'U' 'A' 'U' 'M' 'A' 'A' 'A' 'U' 'A' 'M' 'U' 'U' 'A' 'A' 'A' 'A']"
501,1,130,96,34,68,0,1,"['A' 'A' 'U' 'U' 'U' 'U' 'U' 'A' 'U' 'U' 'A' 'U' 'A' 'A' 'A' 'A' 'U' 'A'
 'U' 'A' 'A' 'A' 'U' 'M' 'A' 'U' 'M' 'U' 'A' 'U' 'U' 'U' 'A' 'U' 'A' 'M'
 'U' 'A' 'U' 'A' 'A' 'A' 'U' 'A' 'M' 'A' 'U' 'U' 'A' 'A' 'A' 'U' 'A' 'A'
 'A' 'A' 'U' 'A' 'U' 'A' 'M' 'A' 'U' 'A' 'U' 'M' 'M' 'M' 'M' 'U' 'M' 'U'
 'M' 'U' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'U' 'M' 'M' 'M' 'M' 'M' 'M'
 'M' 'M' 'M' 'U' 'M' 'U' 'A' 'A' 'U' 'A' 'A' 'U' 'U' 'A' 'U' 'A' 'A' 'A'
 'A' 'U' 'A' 'A' 'A' 'A' 'A' 'A' 'U' 'U' 'A' 'U' 'A' 'A' 'U' 'A' 'U' 'A'
 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'U' 'A' 'A' 'A' 'A' 'A' 'U' 'U' 'U' 'U' 'A'
 'U' 'A' 'U' 'A' 'A' 'U' 'U' 'U' 'A' 'A' 'A' 'U' 'A' 'U' 'M' 'A' 'A' 'U'
 'M' 'U' 'U' 'A' 'A' 'U' 'A' 'A' 'M' 'A' 'A' 'A' 'U' 'U' 'U' 'A' 'U' 'A'
 'A' 'U' 'A' 'A' 'U' 'M' 'A' 'A' 'A' 'U' 'A' 'U' 'U' 'A' 'A' 'A' 'A' 'A']"
601,1,133,95,38,65,0,0,"['A' 'A' 'U' 'U' 'U' 'U' 'U' 'A' 'U' 'U' 'A' 'U' 'A' 'U' 'A' 'A' 'U' 'A'
 'U' 'A' 'A' 'A' 'U' 'M' 'A' 'A' 'M' 'U' 'A' 'U' 'U' 'U' 'A' 'U' 'A' 'M'
 'U' 'A' 'U' 'U' 'U' 'A' 'U' 'A' 'U' 'A' 'U' 'M' 'U' 'A' 'A' 'U' 'A' 'A'
 'A' 'A' 'U' 'A' 'U' 'A' 'M' 'A' 'U' 'A' 'A' 'M' 'M' 'M' 'M' 'U' 'M' 'M'
 'U' 'U' 'M' 'M' 'M' 'M' 'U' 'M' 'M' 'U' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M'
 'M' 'M' 'M' 'M' 'M' 'U' 'A' 'A' 'U' 'A' 'A' 'M' 'M' 'A' 'U' 'A' 'A' 'A'
 'A' 'U' 'A' 'A' 'U' 'A' 'A' 'A' 'U' 'U' 'A' 'U' 'U' 'A' 'U' 'A' 'M' 'A'
 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'U' 'U' 'U' 'U' 'A'
 'U' 'A' 'M' 'A' 'U' 'U' 'U' 'U' 'U' 'A' 'A' 'U' 'A' 'A' 'M' 'A' 'A' 'A'
 'M' 'U' 'U' 'A' 'A' 'U' 'A' 'A' 'M' 'A' 'U' 'A' 'U' 'A' 'U' 'A' 'U' 'A'
 'A' 'A' 'A' 'A' 'U' 'M' 'A' 'A' 'A' 'U' 'A' 'A' 'A' 'U' 'A' 'A' 'A' 'A']"
701,2,147,106,41,51,0,0,"['A' 'A' 'U' 'U' 'U' 'U' 'A' 'A' 'A' 'U' 'A' 'A' 'A' 'U' 'A' 'A' 'U' 'A'
 'U' 'A' 'A' 'A' 'U' 'M' 'A' 'A' 'M' 'A' 'M' 'U' 'U' 'U' 'A' 'U' 'A' 'M'
 'U' 'A' 'A' 'U' 'U' 'A' 'U' 'A' 'A' 'A' 'U' 'M' 'U' 'A' 'A' 'U' 'A' 'A'
 'A' 'A' 'U' 'A' 'M' 'A' 'M' 'A' 'A' 'A' 'A' 'M' 'M' 'U' 'M' 'M' 'M' 'M'
 'M' 'M' 'M' 'M' 'U' 'U' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M'
 'U' 'U' 'M' 'M' 'M' 'A' 'A' 'A' 'A' 'A' 'A' 'M' 'M' 'A' 'U' 'A' 'U' 'A'
 'A' 'U' 'A' 'A' 'U' 'A' 'U' 'A' 'U' 'U' 'A' 'U' 'M' 'A' 'U' 'A' 'M' 'A'
 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'M' 'U' 'U' 'U' 'A'
 'A' 'A' 'M' 'A' 'U' 'A' 'U' 'U' 'U' 'A' 'A' 'U' 'U' 'A' 'M' 'A' 'A' 'A'
 'M' 'U' 'U' 'A' 'A' 'U' 'A' 'A' 'M' 'A' 'U' 'A' 'A' 'A' 'U' 'A' 'A' 'A'
 'A' 'A' 'A' 'A' 'U' 'U' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A']"
801,4,143,100,43,55,0,0,"['A' 'A' 'U' 'A' 'U' 'U' 'A' 'A' 'A' 'U' 'U' 'A' 'U' 'U' 'A' 'A' 'U' 'U'
 'U' 'U' 'A' 'A' 'M' 'M' 'A' 'U' 'M' 'A' 'M' 'U' 'U' 'A' 'A' 'A' 'U' 'M'
 'U' 'A' 'U' 'U' 'U' 'A' 'U' 'A' 'A' 'A' 'A' 'M' 'U' 'A' 'A' 'U' 'A' 'A'
 'A' 'A' 'U' 'U' 'M' 'A' 'M' 'A' 'U' 'A' 'A' 'U' 'M' 'U' 'M' 'M' 'M' 'M'
 'M' 'M' 'M' 'M' 'U' 'U' 'U' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M'
 'M' 'M' 'M' 'M' 'M' 'A' 'A' 'A' 'A' 'A' 'A' 'M' 'U' 'A' 'U' 'A' 'U' 'A'
 'A' 'M' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'U' 'A' 'U' 'M' 'A' 'U' 'U' 'M' 'A'
 'A' 'A' 'A' 'U' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'M' 'U' 'U' 'U' 'A'
 'A' 'U' 'M' 'A' 'U' 'M' 'U' 'U' 'U' 'A' 'A' 'U' 'U' 'A' 'M' 'A' 'A' 'A'
 'M' 'U' 'A' 'A' 'A' 'A' 'A' 'A' 'M' 'A' 'U' 'A' 'A' 'U' 'A' 'A' 'U' 'A'
 'A' 'A' 'A' 'A' 'U' 'U' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'U' 'A' 'A' 'A']"
901,2,139,95,44,59,0,0,"['A' 'A' 'M' 'A' 'U' 'A' 'A' 'A' 'U' 'M' 'U' 'A' 'U' 'U' 'U' 'A' 'A' 'U'
 'U' 'A' 'A' 'A' 'M' 'M' 'A' 'U' 'M' 'A' 'M' 'A' 'U' 'U' 'A' 'A' 'M' 'U'
 'U' 'U' 'M' 'M' 'U' 'A' 'A' 'A' 'A' 'A' 'A' 'M' 'A' 'A' 'A' 'U' 'A' 'A'
 'A' 'A' 'U' 'U' 'M' 'A' 'M' 'A' 'U' 'A' 'A' 'M' 'U' 'M' 'U' 'M' 'U' 'M'
 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'U' 'M' 'M' 'M'
 'M' 'U' 'M' 'M' 'M' 'A' 'U' 'A' 'U' 'A' 'A' 'M' 'U' 'A' 'U' 'A' 'U' 'A'
 'A' 'M' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'U' 'A' 'U' 'M' 'A' 'U' 'U' 'U' 'A'
 'A' 'U' 'U' 'U' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'U' 'U' 'U' 'U' 'A'
 'A' 'U' 'M' 'A' 'U' 'U' 'U' 'U' 'A' 'A' 'A' 'U' 'A' 'A' 'M' 'A' 'A' 'A'
 'M' 'U' 'U' 'A' 'A' 'A' 'A' 'U' 'M' 'A' 'U' 'A' 'A' 'U' 'A' 'A' 'U' 'A'
 'A' 'A' 'U' 'A' 'U' 'U' 'A' 'A' 'A' 'A' 'A' 'U' 'U' 'A' 'U' 'A' 'A' 'A']"
