Time Steps,Polymerase Count,Active Histone Count,Acetylated Histone Count,Methylated Histone Count,Unmodified Histone Count,Chromatine array,Count A,Noisy Changes Count,Enzyme Changes Count,Chromatine Array
1,6,115,84,31,83,,6,0.0,1.0,"['A' 'A' 'M' 'A' 'U' 'U' 'U' 'A' 'A' 'U' 'U' 'U' 'U' 'A' 'A' 'U' 'U' 'A'
 'U' 'U' 'A' 'A' 'U' 'A' 'U' 'A' 'U' 'U' 'A' 'U' 'U' 'U' 'U' 'U' 'A' 'U'
 'U' 'A' 'U' 'A' 'A' 'U' 'U' 'A' 'A' 'U' 'U' 'A' 'A' 'A' 'A' 'U' 'A' 'A'
 'A' 'U' 'U' 'A' 'A' 'A' 'U' 'A' 'U' 'A' 'A' 'M' 'M' 'M' 'M' 'M' 'M' 'M'
 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M'
 'M' 'M' 'M' 'M' 'M' 'U' 'U' 'U' 'U' 'A' 'U' 'U' 'A' 'A' 'U' 'A' 'A' 'A'
 'A' 'U' 'A' 'U' 'A' 'U' 'U' 'U' 'A' 'U' 'A' 'U' 'A' 'A' 'U' 'A' 'U' 'U'
 'U' 'U' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'U' 'U' 'U' 'U' 'U' 'U' 'U'
 'A' 'A' 'U' 'U' 'U' 'A' 'U' 'A' 'A' 'A' 'A' 'A' 'U' 'A' 'U' 'U' 'A' 'U'
 'U' 'U' 'U' 'A' 'A' 'U' 'U' 'A' 'U' 'U' 'U' 'A' 'A' 'U' 'U' 'A' 'A' 'A'
 'A' 'A' 'A' 'A' 'U' 'U' 'A' 'U' 'A' 'U' 'A' 'U' 'A' 'U' 'A' 'U' 'A' 'A']"
101,6,119,81,38,79,,6,0.0,0.0,"['A' 'A' 'M' 'A' 'U' 'U' 'U' 'A' 'A' 'U' 'M' 'U' 'A' 'A' 'A' 'U' 'M' 'A'
 'U' 'M' 'A' 'U' 'U' 'A' 'U' 'U' 'U' 'U' 'U' 'U' 'U' 'U' 'U' 'U' 'A' 'U'
 'U' 'U' 'U' 'A' 'A' 'U' 'U' 'A' 'A' 'U' 'U' 'A' 'A' 'A' 'A' 'U' 'A' 'A'
 'A' 'U' 'U' 'A' 'A' 'A' 'U' 'A' 'U' 'A' 'A' 'M' 'M' 'M' 'M' 'M' 'M' 'M'
 'M' 'M' 'M' 'U' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M'
 'M' 'M' 'M' 'M' 'M' 'U' 'A' 'U' 'U' 'A' 'U' 'U' 'A' 'A' 'A' 'A' 'A' 'A'
 'A' 'U' 'A' 'U' 'A' 'A' 'A' 'U' 'A' 'U' 'U' 'U' 'U' 'A' 'U' 'A' 'U' 'U'
 'U' 'U' 'U' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'U' 'U' 'U' 'M' 'A' 'U' 'U'
 'U' 'M' 'U' 'U' 'U' 'A' 'U' 'A' 'A' 'A' 'U' 'A' 'U' 'A' 'M' 'U' 'A' 'U'
 'U' 'U' 'U' 'A' 'A' 'A' 'A' 'A' 'U' 'U' 'U' 'A' 'A' 'U' 'U' 'A' 'U' 'A'
 'A' 'A' 'A' 'A' 'M' 'U' 'A' 'U' 'A' 'U' 'A' 'U' 'A' 'U' 'A' 'M' 'A' 'A']"
201,6,135,93,42,63,,6,0.0,1.0,"['A' 'U' 'M' 'A' 'M' 'U' 'A' 'A' 'A' 'U' 'M' 'U' 'U' 'A' 'A' 'U' 'M' 'A'
 'U' 'M' 'U' 'U' 'U' 'A' 'U' 'U' 'U' 'U' 'U' 'U' 'A' 'U' 'U' 'U' 'A' 'A'
 'M' 'U' 'A' 'A' 'A' 'U' 'U' 'A' 'U' 'A' 'U' 'A' 'A' 'A' 'A' 'U' 'A' 'U'
 'A' 'U' 'U' 'A' 'A' 'A' 'U' 'A' 'A' 'A' 'A' 'M' 'M' 'M' 'M' 'M' 'M' 'M'
 'M' 'M' 'M' 'U' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M'
 'M' 'M' 'M' 'M' 'M' 'A' 'A' 'U' 'U' 'A' 'M' 'U' 'A' 'A' 'A' 'U' 'U' 'A'
 'A' 'U' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'U' 'A' 'U' 'A' 'A' 'A' 'A' 'U' 'U'
 'U' 'U' 'U' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'U' 'A' 'U' 'M' 'A' 'A' 'M'
 'U' 'U' 'A' 'U' 'A' 'A' 'A' 'A' 'A' 'A' 'U' 'A' 'A' 'A' 'M' 'U' 'A' 'U'
 'U' 'U' 'A' 'A' 'A' 'A' 'A' 'A' 'U' 'A' 'U' 'A' 'A' 'U' 'U' 'A' 'A' 'A'
 'A' 'A' 'U' 'A' 'U' 'M' 'A' 'U' 'U' 'U' 'A' 'U' 'A' 'A' 'A' 'M' 'A' 'M']"
301,6,142,97,45,56,,6,0.0,1.0,"['A' 'U' 'M' 'A' 'U' 'U' 'A' 'A' 'A' 'M' 'M' 'A' 'U' 'A' 'A' 'U' 'M' 'A'
 'M' 'U' 'U' 'U' 'U' 'A' 'U' 'A' 'U' 'U' 'M' 'U' 'A' 'U' 'U' 'A' 'A' 'A'
 'M' 'M' 'A' 'A' 'A' 'U' 'A' 'A' 'U' 'U' 'A' 'A' 'A' 'A' 'A' 'U' 'A' 'M'
 'A' 'U' 'U' 'A' 'A' 'U' 'U' 'A' 'A' 'U' 'A' 'M' 'M' 'M' 'M' 'M' 'M' 'M'
 'U' 'M' 'U' 'U' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M'
 'M' 'M' 'M' 'M' 'M' 'A' 'A' 'U' 'A' 'A' 'M' 'U' 'A' 'A' 'A' 'U' 'U' 'A'
 'A' 'M' 'A' 'U' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'U' 'U' 'U' 'A' 'A' 'U' 'U'
 'U' 'U' 'U' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'U' 'A' 'U' 'M' 'A' 'U' 'M'
 'A' 'U' 'A' 'U' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'M' 'A' 'A' 'A'
 'A' 'U' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'U' 'A' 'A' 'U' 'U' 'A' 'A' 'A'
 'A' 'A' 'U' 'A' 'U' 'M' 'A' 'M' 'U' 'U' 'A' 'U' 'A' 'U' 'U' 'M' 'A' 'M']"
401,6,151,103,48,47,,6,0.0,0.0,"['A' 'U' 'M' 'A' 'A' 'U' 'A' 'A' 'M' 'M' 'M' 'A' 'M' 'A' 'U' 'A' 'M' 'A'
 'M' 'U' 'M' 'U' 'U' 'A' 'A' 'A' 'U' 'U' 'M' 'U' 'A' 'U' 'A' 'U' 'A' 'A'
 'M' 'M' 'A' 'A' 'A' 'U' 'A' 'A' 'U' 'A' 'A' 'A' 'A' 'A' 'M' 'U' 'A' 'M'
 'A' 'U' 'M' 'A' 'A' 'U' 'A' 'A' 'A' 'U' 'A' 'M' 'M' 'M' 'M' 'M' 'M' 'M'
 'U' 'M' 'U' 'U' 'U' 'M' 'M' 'U' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M'
 'M' 'M' 'M' 'M' 'M' 'A' 'A' 'U' 'A' 'A' 'U' 'U' 'A' 'A' 'A' 'U' 'U' 'A'
 'A' 'M' 'A' 'U' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'U' 'U' 'A' 'A' 'U' 'A'
 'A' 'M' 'U' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'U' 'A' 'A' 'M' 'U' 'U' 'M'
 'A' 'A' 'A' 'A' 'A' 'A' 'U' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'M' 'A' 'M' 'U'
 'A' 'U' 'U' 'A' 'A' 'A' 'A' 'U' 'U' 'A' 'A' 'A' 'A' 'U' 'U' 'A' 'A' 'A'
 'A' 'A' 'A' 'A' 'U' 'M' 'A' 'M' 'A' 'A' 'A' 'U' 'A' 'U' 'A' 'M' 'A' 'U']"
501,6,146,101,45,52,,7,0.0,0.0,"['A' 'U' 'M' 'A' 'A' 'U' 'A' 'U' 'M' 'M' 'M' 'A' 'U' 'A' 'U' 'A' 'U' 'A'
 'M' 'A' 'M' 'A' 'U' 'U' 'A' 'A' 'U' 'M' 'M' 'U' 'A' 'U' 'A' 'A' 'A' 'U'
 'M' 'U' 'A' 'A' 'A' 'U' 'A' 'A' 'M' 'A' 'A' 'A' 'A' 'A' 'M' 'U' 'A' 'M'
 'A' 'A' 'U' 'A' 'A' 'U' 'U' 'A' 'A' 'U' 'A' 'M' 'M' 'M' 'M' 'M' 'M' 'M'
 'U' 'M' 'U' 'U' 'U' 'M' 'M' 'U' 'M' 'M' 'M' 'U' 'M' 'M' 'M' 'M' 'M' 'M'
 'M' 'M' 'M' 'M' 'M' 'A' 'A' 'U' 'A' 'A' 'U' 'U' 'A' 'A' 'A' 'U' 'U' 'A'
 'U' 'M' 'A' 'U' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'U' 'U' 'A' 'U' 'M' 'U'
 'A' 'M' 'A' 'A' 'U' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'U' 'M' 'A' 'U' 'U'
 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'U' 'A' 'A' 'A' 'A' 'A' 'M' 'A' 'U' 'A'
 'A' 'M' 'U' 'A' 'A' 'A' 'A' 'U' 'U' 'A' 'A' 'A' 'A' 'U' 'U' 'A' 'A' 'A'
 'A' 'A' 'A' 'A' 'U' 'M' 'U' 'M' 'A' 'A' 'A' 'U' 'A' 'U' 'A' 'M' 'A' 'U']"
601,6,145,102,43,53,,7,0.0,1.0,"['A' 'U' 'M' 'U' 'A' 'U' 'A' 'U' 'M' 'U' 'U' 'A' 'M' 'A' 'U' 'A' 'U' 'A'
 'M' 'A' 'U' 'A' 'A' 'U' 'A' 'A' 'U' 'M' 'M' 'U' 'A' 'U' 'A' 'A' 'A' 'U'
 'M' 'U' 'A' 'A' 'A' 'U' 'A' 'A' 'M' 'U' 'A' 'A' 'A' 'A' 'M' 'U' 'A' 'M'
 'A' 'A' 'U' 'A' 'A' 'U' 'A' 'U' 'A' 'U' 'A' 'M' 'M' 'M' 'M' 'M' 'M' 'M'
 'U' 'M' 'U' 'U' 'U' 'M' 'M' 'U' 'M' 'M' 'M' 'U' 'M' 'M' 'M' 'M' 'M' 'M'
 'M' 'M' 'M' 'M' 'M' 'A' 'A' 'U' 'A' 'A' 'A' 'U' 'A' 'A' 'A' 'U' 'U' 'A'
 'A' 'M' 'A' 'U' 'A' 'A' 'U' 'A' 'A' 'A' 'A' 'U' 'A' 'U' 'U' 'A' 'A' 'U'
 'A' 'M' 'A' 'A' 'U' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'M' 'A' 'U' 'U'
 'A' 'A' 'A' 'U' 'A' 'A' 'A' 'A' 'U' 'A' 'A' 'A' 'A' 'A' 'M' 'A' 'U' 'A'
 'A' 'U' 'A' 'M' 'A' 'A' 'U' 'U' 'U' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A'
 'A' 'U' 'A' 'A' 'U' 'M' 'U' 'M' 'A' 'A' 'A' 'M' 'A' 'U' 'A' 'M' 'A' 'U']"
701,5,150,102,48,48,,7,0.0,0.0,"['A' 'U' 'M' 'U' 'A' 'A' 'A' 'U' 'U' 'U' 'U' 'U' 'U' 'A' 'U' 'A' 'M' 'A'
 'M' 'A' 'A' 'M' 'A' 'U' 'A' 'A' 'U' 'M' 'M' 'U' 'A' 'U' 'A' 'A' 'A' 'A'
 'M' 'U' 'A' 'A' 'A' 'M' 'A' 'A' 'M' 'M' 'A' 'A' 'A' 'A' 'M' 'A' 'A' 'M'
 'U' 'A' 'U' 'A' 'A' 'A' 'A' 'U' 'A' 'U' 'A' 'M' 'M' 'M' 'M' 'M' 'M' 'M'
 'U' 'M' 'U' 'U' 'U' 'U' 'M' 'U' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M'
 'M' 'M' 'M' 'U' 'M' 'A' 'A' 'U' 'A' 'A' 'A' 'U' 'A' 'A' 'A' 'A' 'U' 'A'
 'A' 'A' 'A' 'U' 'A' 'A' 'U' 'A' 'A' 'A' 'A' 'A' 'A' 'U' 'U' 'A' 'U' 'M'
 'A' 'M' 'A' 'A' 'U' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'M' 'U' 'U' 'U'
 'A' 'M' 'A' 'A' 'A' 'A' 'A' 'A' 'U' 'A' 'A' 'A' 'U' 'A' 'M' 'A' 'U' 'A'
 'A' 'A' 'A' 'M' 'A' 'A' 'M' 'U' 'U' 'A' 'U' 'A' 'A' 'U' 'A' 'A' 'A' 'A'
 'A' 'M' 'A' 'A' 'A' 'M' 'U' 'M' 'A' 'U' 'A' 'M' 'U' 'M' 'A' 'M' 'A' 'U']"
801,5,150,101,49,48,,7,0.0,0.0,"['A' 'U' 'M' 'A' 'A' 'A' 'A' 'A' 'A' 'U' 'U' 'U' 'U' 'A' 'U' 'A' 'U' 'M'
 'M' 'A' 'A' 'M' 'U' 'M' 'A' 'A' 'U' 'M' 'M' 'U' 'A' 'U' 'A' 'A' 'A' 'A'
 'M' 'U' 'A' 'U' 'A' 'U' 'A' 'A' 'M' 'M' 'A' 'A' 'A' 'A' 'M' 'A' 'U' 'M'
 'U' 'A' 'M' 'A' 'A' 'A' 'A' 'U' 'A' 'U' 'A' 'M' 'M' 'M' 'M' 'M' 'M' 'M'
 'U' 'M' 'M' 'U' 'U' 'U' 'M' 'U' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'M'
 'M' 'M' 'M' 'U' 'M' 'A' 'A' 'U' 'A' 'U' 'A' 'A' 'A' 'A' 'A' 'A' 'U' 'A'
 'A' 'A' 'A' 'U' 'A' 'A' 'A' 'A' 'U' 'U' 'A' 'A' 'A' 'U' 'A' 'A' 'U' 'M'
 'A' 'M' 'A' 'A' 'U' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'U' 'A' 'U' 'A' 'U' 'A'
 'A' 'M' 'A' 'A' 'A' 'A' 'A' 'A' 'U' 'A' 'A' 'A' 'U' 'U' 'M' 'A' 'U' 'A'
 'A' 'A' 'A' 'M' 'U' 'A' 'M' 'M' 'M' 'U' 'U' 'A' 'A' 'A' 'A' 'A' 'A' 'A'
 'A' 'M' 'A' 'A' 'A' 'U' 'A' 'U' 'A' 'U' 'A' 'M' 'U' 'M' 'A' 'M' 'A' 'U']"
901,5,144,99,45,54,,6,0.0,0.0,"['A' 'U' 'M' 'A' 'A' 'A' 'A' 'A' 'A' 'U' 'U' 'U' 'U' 'A' 'U' 'U' 'U' 'M'
 'M' 'U' 'A' 'M' 'U' 'M' 'A' 'A' 'U' 'M' 'A' 'U' 'A' 'U' 'A' 'A' 'A' 'A'
 'M' 'U' 'A' 'U' 'A' 'U' 'A' 'A' 'M' 'M' 'A' 'A' 'U' 'A' 'M' 'U' 'U' 'M'
 'U' 'A' 'M' 'A' 'A' 'A' 'A' 'U' 'A' 'U' 'A' 'M' 'M' 'M' 'M' 'M' 'M' 'M'
 'U' 'M' 'M' 'U' 'U' 'U' 'M' 'U' 'M' 'M' 'M' 'M' 'M' 'M' 'M' 'U' 'M' 'M'
 'M' 'M' 'M' 'U' 'M' 'A' 'A' 'U' 'A' 'U' 'A' 'A' 'A' 'A' 'A' 'A' 'U' 'M'
 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'U' 'A' 'A' 'A' 'A' 'U' 'A' 'A' 'U' 'M'
 'A' 'M' 'A' 'A' 'U' 'A' 'A' 'A' 'U' 'A' 'A' 'A' 'U' 'A' 'U' 'A' 'U' 'A'
 'A' 'U' 'A' 'A' 'A' 'A' 'A' 'A' 'U' 'U' 'U' 'A' 'A' 'A' 'M' 'A' 'U' 'A'
 'A' 'U' 'U' 'M' 'A' 'A' 'M' 'U' 'A' 'U' 'A' 'A' 'A' 'A' 'U' 'A' 'A' 'A'
 'A' 'M' 'A' 'A' 'A' 'U' 'A' 'U' 'A' 'U' 'A' 'M' 'A' 'M' 'A' 'M' 'A' 'U']"
