Time Steps,Polymerase Count,Active Histone Count,Acetylated Histone Count,Methylated Histone Count,Unmodified Histone Count,Noisy Changes Count,Enzyme Changes Count
1,0,30,0,30,30,0,0
1001,0,40,4,36,20,0,0
2001,0,43,11,32,17,0,0
3001,0,43,17,26,17,0,0
4001,0,40,31,9,20,0,0
5001,0,40,26,14,20,0,0
6001,0,33,24,9,27,1,0
7001,0,36,17,19,24,0,0
8001,0,32,21,11,28,0,0
9001,0,32,16,16,28,0,0
10001,0,38,31,7,22,0,0
11001,0,40,17,23,20,0,0
12001,0,35,12,23,25,1,0
13001,0,36,15,21,24,0,0
14001,0,34,6,28,26,0,0
15001,0,35,3,32,25,1,0
16001,0,35,16,19,25,0,0
17001,0,39,17,22,21,0,0
18001,0,37,7,30,23,0,0
19001,0,39,23,16,21,0,0
20001,0,33,13,20,27,0,0
21001,0,30,17,13,30,0,0
22001,0,36,25,11,24,0,0
23001,0,43,33,10,17,0,0
24001,0,33,5,28,27,0,0
25001,0,38,20,18,22,0,0
26001,0,31,24,7,29,0,0
27001,0,32,10,22,28,0,1
28001,0,25,15,10,35,0,0
29001,0,30,13,17,30,0,0
30001,0,34,15,19,26,0,0
31001,0,39,12,27,21,0,0
32001,0,35,13,22,25,0,0
33001,0,40,9,31,20,0,0
34001,0,35,18,17,25,0,0
35001,0,41,30,11,19,0,0
36001,0,37,26,11,23,0,0
37001,0,33,14,19,27,1,1
38001,0,39,20,19,21,0,1
39001,0,45,36,9,15,0,0
40001,0,46,44,2,14,0,0
41001,0,32,23,9,28,0,0
42001,0,47,38,9,13,0,0
43001,0,37,31,6,23,0,0
44001,0,28,16,12,32,0,1
45001,0,35,12,23,25,0,1
46001,0,35,5,30,25,0,0
47001,0,36,13,23,24,1,1
48001,0,38,2,36,22,0,0
49001,0,36,12,24,24,0,0
50001,0,41,29,12,19,0,0
51001,0,40,24,16,20,0,0
52001,0,44,41,3,16,0,0
53001,0,41,38,3,19,0,0
54001,0,38,24,14,22,0,1
55001,0,31,16,15,29,0,0
56001,0,33,11,22,27,0,0
57001,0,37,14,23,23,0,0
58001,0,40,29,11,20,0,1
59001,0,33,19,14,27,0,0
60001,0,37,17,20,23,0,1
61001,0,30,19,11,30,0,0
62001,0,38,4,34,22,0,0
63001,0,40,3,37,20,0,0
64001,0,45,5,40,15,0,0
65001,0,35,4,31,25,0,0
66001,0,35,18,17,25,0,0
67001,0,39,29,10,21,0,0
68001,0,34,22,12,26,0,1
69001,0,34,19,15,26,0,0
70001,0,38,34,4,22,0,0
71001,0,42,40,2,18,0,0
72001,0,47,45,2,13,0,0
73001,0,43,42,1,17,0,0
74001,0,42,36,6,18,0,0
75001,0,35,32,3,25,1,0
76001,0,39,23,16,21,0,0
77001,0,31,24,7,29,0,0
78001,0,42,14,28,18,0,0
79001,0,35,20,15,25,0,0
80001,0,36,14,22,24,1,0
81001,0,37,21,16,23,0,0
82001,0,42,36,6,18,1,0
83001,0,31,8,23,29,0,0
84001,0,39,4,35,21,1,0
85001,0,38,13,25,22,1,0
86001,0,31,6,25,29,0,0
87001,0,35,26,9,25,0,0
88001,0,31,24,7,29,0,1
89001,0,38,25,13,22,0,0
90001,0,33,22,11,27,0,0
91001,0,38,24,14,22,0,0
92001,0,40,5,35,20,0,0
93001,0,40,1,39,20,0,0
94001,0,30,4,26,30,0,0
95001,0,45,19,26,15,0,0
96001,0,37,27,10,23,0,0
97001,0,35,17,18,25,0,0
98001,0,43,9,34,17,0,1
99001,0,45,7,38,15,0,0
100001,0,35,15,20,25,0,0
101001,0,43,30,13,17,0,0
102001,0,34,26,8,26,0,0
103001,0,26,13,13,34,0,0
104001,0,33,23,10,27,0,0
105001,0,40,18,22,20,0,0
106001,0,41,23,18,19,0,0
107001,0,36,25,11,24,0,0
108001,0,37,34,3,23,0,0
109001,0,33,19,14,27,0,0
110001,0,30,15,15,30,0,0
111001,0,30,13,17,30,0,0
112001,0,34,23,11,26,0,0
113001,0,41,28,13,19,0,0
114001,0,41,34,7,19,0,0
115001,0,42,29,13,18,0,0
116001,0,40,37,3,20,0,0
117001,0,38,22,16,22,0,0
118001,0,40,30,10,20,0,1
119001,0,31,21,10,29,0,1
120001,0,39,15,24,21,0,0
121001,0,31,8,23,29,0,0
122001,0,45,31,14,15,0,0
123001,0,32,23,9,28,0,1
124001,0,32,22,10,28,0,0
125001,0,38,38,0,22,0,0
126001,0,43,42,1,17,1,0
127001,0,37,29,8,23,1,1
128001,0,39,10,29,21,0,0
129001,0,39,26,13,21,0,0
130001,0,33,13,20,27,0,1
131001,0,36,16,20,24,0,0
132001,0,36,27,9,24,0,0
133001,0,34,30,4,26,0,0
134001,0,36,7,29,24,0,1
135001,0,38,25,13,22,0,1
136001,0,37,34,3,23,0,0
137001,0,40,34,6,20,0,0
138001,0,35,25,10,25,0,0
139001,0,42,33,9,18,0,0
140001,0,33,20,13,27,0,0
141001,0,37,16,21,23,0,0
142001,0,30,22,8,30,0,0
143001,0,38,31,7,22,0,0
144001,0,24,11,13,36,0,1
145001,0,37,16,21,23,0,0
146001,0,36,9,27,24,0,0
147001,0,41,4,37,19,0,0
148001,0,35,15,20,25,0,0
149001,0,51,47,4,9,0,0
150001,0,40,32,8,20,0,0
151001,0,39,32,7,21,0,1
152001,0,39,32,7,21,0,0
153001,0,29,24,5,31,0,0
154001,0,41,22,19,19,0,0
155001,0,33,14,19,27,0,1
156001,0,37,23,14,23,0,0
157001,0,31,15,16,29,0,1
158001,0,36,7,29,24,0,0
159001,0,32,14,18,28,0,0
160001,0,37,26,11,23,0,0
161001,0,31,22,9,29,0,0
162001,0,39,27,12,21,0,0
163001,0,37,23,14,23,0,0
164001,0,40,35,5,20,0,0
165001,0,30,2,28,30,0,0
166001,0,26,12,14,34,0,0
167001,0,40,10,30,20,0,0
168001,0,33,4,29,27,0,0
169001,0,33,8,25,27,0,0
170001,0,33,0,33,27,0,0
171001,0,35,1,34,25,0,0
172001,0,41,6,35,19,0,1
173001,0,38,26,12,22,0,0
174001,0,45,40,5,15,0,0
175001,0,39,32,7,21,0,0
176001,0,28,12,16,32,0,1
177001,0,35,18,17,25,0,1
178001,0,44,25,19,16,0,1
179001,0,37,22,15,23,0,1
180001,0,30,19,11,30,0,0
181001,0,41,26,15,19,1,0
182001,0,31,18,13,29,0,0
183001,0,44,27,17,16,0,0
184001,0,35,17,18,25,0,0
185001,0,37,17,20,23,0,0
186001,0,36,8,28,24,0,0
187001,0,40,4,36,20,0,1
188001,0,36,7,29,24,0,0
189001,0,37,2,35,23,0,0
190001,0,34,11,23,26,0,0
191001,0,32,8,24,28,0,0
192001,0,35,28,7,25,0,0
193001,0,33,29,4,27,0,0
194001,0,34,21,13,26,0,1
195001,0,38,7,31,22,0,0
196001,0,40,7,33,20,0,0
197001,0,29,12,17,31,0,0
198001,0,36,15,21,24,0,0
199001,0,39,31,8,21,0,0
200001,0,39,22,17,21,0,0
201001,0,35,17,18,25,0,1
202001,0,42,6,36,18,0,0
203001,0,42,7,35,18,0,0
204001,0,32,14,18,28,0,0
205001,0,37,32,5,23,0,0
206001,0,34,33,1,26,0,0
207001,0,33,20,13,27,0,0
208001,0,29,20,9,31,0,0
209001,0,41,32,9,19,0,1
210001,0,45,30,15,15,0,0
211001,0,31,17,14,29,1,0
212001,0,37,24,13,23,0,0
213001,0,38,12,26,22,0,0
214001,0,38,9,29,22,0,0
215001,0,31,8,23,29,0,0
216001,0,40,14,26,20,0,1
217001,0,42,11,31,18,0,0
218001,0,38,22,16,22,1,0
219001,0,46,45,1,14,0,0
220001,0,41,30,11,19,0,0
221001,0,34,21,13,26,0,0
222001,0,37,19,18,23,0,1
223001,0,37,10,27,23,0,0
224001,0,36,1,35,24,0,0
225001,0,39,15,24,21,0,0
226001,0,39,26,13,21,0,0
227001,0,35,17,18,25,0,0
228001,0,36,8,28,24,0,0
229001,0,41,17,24,19,0,0
230001,0,38,24,14,22,0,0
231001,0,39,28,11,21,1,0
232001,0,39,30,9,21,0,0
233001,0,31,11,20,29,0,0
234001,0,37,13,24,23,0,0
235001,0,36,25,11,24,1,0
236001,0,30,20,10,30,0,0
237001,0,27,17,10,33,0,0
238001,0,36,25,11,24,0,0
239001,0,35,19,16,25,0,0
240001,0,30,6,24,30,0,0
241001,0,31,11,20,29,0,0
242001,0,37,20,17,23,0,1
243001,0,46,33,13,14,0,0
