Time Steps,Polymerase Count,Active Histone Count,Acetylated Histone Count,Methylated Histone Count,Unmodified Histone Count,Noisy Changes Count,Enzyme Changes Count
1,0,31,0,31,29,0,1
101,0,37,0,37,23,0,0
201,0,44,1,43,16,0,0
301,0,48,1,47,12,0,0
401,0,46,1,45,14,0,0
501,0,51,2,49,9,0,0
601,0,50,2,48,10,0,0
701,0,48,2,46,12,0,0
801,0,43,2,41,17,0,0
901,0,43,3,40,17,0,0
1001,0,49,3,46,11,0,0
1101,0,50,2,48,10,0,0
1201,0,49,3,46,11,0,0
1301,0,47,1,46,13,0,0
1401,0,47,2,45,13,0,0
1501,0,46,1,45,14,0,0
1601,0,48,2,46,12,0,0
1701,0,47,1,46,13,0,0
1801,0,50,1,49,10,0,0
1901,0,52,2,50,8,0,0
2001,0,49,2,47,11,0,0
2101,0,45,4,41,15,0,0
2201,0,44,2,42,16,0,0
2301,0,45,0,45,15,0,0
2401,0,48,0,48,12,0,0
2501,0,50,1,49,10,0,0
2601,0,53,2,51,7,1,0
2701,0,48,2,46,12,0,0
2801,0,53,3,50,7,0,0
2901,0,53,4,49,7,0,0
3001,0,53,5,48,7,0,0
3101,0,45,4,41,15,0,0
3201,0,49,5,44,11,0,0
3301,0,44,4,40,16,0,0
3401,0,46,4,42,14,0,0
3501,0,45,5,40,15,0,0
3601,0,47,10,37,13,0,1
3701,0,43,8,35,17,1,0
3801,0,45,6,39,15,0,0
3901,0,48,13,35,12,0,0
4001,0,48,16,32,12,0,0
4101,0,47,17,30,13,0,0
4201,0,47,19,28,13,0,0
4301,0,44,17,27,16,0,1
4401,0,48,17,31,12,0,1
4501,0,51,17,34,9,0,1
4601,0,52,21,31,8,0,0
4701,0,47,20,27,13,0,0
4801,0,48,19,29,12,0,1
4901,0,47,16,31,13,0,0
5001,0,52,18,34,8,0,1
5101,0,47,18,29,13,0,0
5201,0,44,14,30,16,0,0
5301,0,41,13,28,19,0,0
5401,0,39,15,24,21,0,0
5501,0,45,18,27,15,0,0
5601,0,44,17,27,16,0,0
5701,0,44,18,26,16,0,0
5801,0,43,16,27,17,0,0
5901,0,47,18,29,13,0,0
6001,0,46,18,28,14,0,1
6101,0,47,21,26,13,0,1
6201,0,48,19,29,12,0,0
6301,0,43,15,28,17,0,1
6401,0,46,13,33,14,0,0
6501,0,48,14,34,12,0,0
6601,0,52,15,37,8,0,0
6701,0,51,15,36,9,0,0
6801,0,49,15,34,11,0,0
6901,0,46,12,34,14,0,0
7001,0,50,13,37,10,0,0
7101,0,52,12,40,8,0,0
7201,0,51,13,38,9,0,1
7301,0,48,15,33,12,1,0
7401,0,46,11,35,14,0,1
7501,0,51,13,38,9,0,1
7601,0,49,14,35,11,0,0
7701,0,51,14,37,9,0,0
7801,0,50,13,37,10,0,0
7901,0,49,13,36,11,0,0
8001,0,51,14,37,9,0,0
8101,0,48,14,34,12,0,0
8201,0,46,16,30,14,0,0
8301,0,45,14,31,15,1,0
8401,0,47,17,30,13,0,0
8501,0,42,14,28,18,0,0
8601,0,47,14,33,13,0,0
8701,0,48,14,34,12,0,0
8801,0,45,15,30,15,0,1
8901,0,42,15,27,18,0,0
9001,0,41,12,29,19,0,0
9101,0,47,13,34,13,0,0
9201,0,47,15,32,13,0,0
9301,0,47,16,31,13,0,1
9401,0,46,18,28,14,0,0
9501,0,44,19,25,16,0,0
9601,0,40,17,23,20,0,1
9701,0,39,20,19,21,0,0
9801,0,40,20,20,20,0,0
9901,0,46,23,23,14,0,0
10001,0,42,18,24,18,0,0
10101,0,43,16,27,17,0,1
10201,0,44,21,23,16,0,0
10301,0,41,18,23,19,0,0
10401,0,39,18,21,21,0,0
10501,0,39,17,22,21,0,0
10601,0,43,21,22,17,0,0
10701,0,45,24,21,15,0,1
10801,0,41,23,18,19,0,0
10901,0,45,25,20,15,0,0
11001,0,44,24,20,16,0,1
11101,0,44,23,21,16,0,0
11201,0,45,27,18,15,0,0
11301,0,38,27,11,22,1,0
11401,0,42,28,14,18,0,1
11501,0,43,30,13,17,0,0
11601,0,43,29,14,17,0,0
11701,0,45,29,16,15,0,0
11801,0,46,29,17,14,0,0
11901,0,42,26,16,18,0,0
12001,0,40,24,16,20,0,0
12101,0,47,29,18,13,0,0
12201,0,44,26,18,16,0,0
12301,0,46,25,21,14,0,0
12401,0,47,25,22,13,0,0
12501,0,40,22,18,20,0,0
12601,0,40,25,15,20,0,1
12701,0,42,27,15,18,0,0
12801,0,45,28,17,15,0,0
12901,0,43,28,15,17,0,0
13001,0,42,27,15,18,0,0
13101,0,44,33,11,16,0,0
13201,0,47,39,8,13,0,0
13301,0,39,31,8,21,0,0
13401,0,42,34,8,18,0,0
13501,0,41,33,8,19,0,1
13601,0,43,38,5,17,0,0
13701,0,48,43,5,12,0,1
13801,0,45,40,5,15,0,1
