Time Steps,Polymerase Count,Active Histone Count,Acetylated Histone Count,Methylated Histone Count,Unmodified Histone Count,Noisy Changes Count,Enzyme Changes Count
1,0,31,0,31,29,0,1
101,0,37,1,36,23,0,0
201,0,39,1,38,21,0,0
301,0,37,2,35,23,0,0
401,0,45,3,42,15,0,0
501,0,47,3,44,13,0,0
601,0,48,2,46,12,0,0
701,0,50,0,50,10,0,1
801,0,53,0,53,7,0,0
901,0,56,0,56,4,0,0
1001,0,53,0,53,7,0,0
1101,0,52,0,52,8,0,0
1201,0,51,0,51,9,0,0
1301,0,51,0,51,9,0,0
1401,0,49,0,49,11,0,0
1501,0,48,1,47,12,0,0
1601,0,53,0,53,7,0,0
1701,0,54,0,54,6,0,0
1801,0,53,0,53,7,0,0
1901,0,52,0,52,8,0,0
2001,0,53,0,53,7,0,0
2101,0,52,0,52,8,0,0
2201,0,55,0,55,5,0,0
2301,0,53,0,53,7,0,0
2401,0,54,0,54,6,0,0
2501,0,53,0,53,7,0,0
2601,0,54,0,54,6,0,0
2701,0,54,0,54,6,0,0
2801,0,55,0,55,5,0,0
2901,0,55,0,55,5,0,0
3001,0,51,0,51,9,0,0
3101,0,53,0,53,7,0,0
3201,0,55,0,55,5,0,0
3301,0,53,0,53,7,0,0
3401,0,50,0,50,10,0,0
3501,0,54,0,54,6,0,0
3601,0,53,0,53,7,0,0
3701,0,51,0,51,9,0,0
3801,0,51,0,51,9,0,0
3901,0,50,0,50,10,0,0
4001,0,48,0,48,12,0,0
4101,0,51,0,51,9,0,0
4201,0,51,0,51,9,0,0
4301,0,54,0,54,6,0,0
4401,0,54,0,54,6,0,0
4501,0,50,0,50,10,1,0
4601,0,50,0,50,10,0,0
4701,0,50,0,50,10,0,0
4801,0,51,1,50,9,0,0
4901,0,47,0,47,13,0,0
5001,0,49,0,49,11,0,0
5101,0,52,0,52,8,0,0
5201,0,51,0,51,9,0,0
5301,0,52,0,52,8,0,0
5401,0,52,0,52,8,0,0
5501,0,48,0,48,12,0,0
5601,0,47,1,46,13,0,0
5701,0,52,3,49,8,0,0
5801,0,51,3,48,9,0,0
5901,0,50,3,47,10,0,0
6001,0,43,3,40,17,0,1
6101,0,45,6,39,15,0,0
6201,0,47,5,42,13,0,0
6301,0,52,6,46,8,0,0
6401,0,48,5,43,12,0,0
6501,0,43,4,39,17,0,0
6601,0,49,10,39,11,0,0
6701,0,50,7,43,10,0,0
6801,0,48,7,41,12,0,0
6901,0,48,5,43,12,0,0
7001,0,48,4,44,12,0,0
7101,0,48,3,45,12,0,0
7201,0,47,2,45,13,0,0
7301,0,48,4,44,12,1,0
7401,0,45,2,43,15,0,0
7501,0,45,2,43,15,0,0
7601,0,42,2,40,18,0,0
7701,0,46,2,44,14,0,0
7801,0,45,2,43,15,0,0
7901,0,45,2,43,15,0,0
8001,0,38,2,36,22,0,0
8101,0,38,2,36,22,0,0
8201,0,41,1,40,19,0,0
8301,0,44,1,43,16,0,0
8401,0,44,1,43,16,0,0
8501,0,43,0,43,17,0,0
8601,0,43,0,43,17,0,0
8701,0,45,0,45,15,0,0
8801,0,46,0,46,14,0,0
8901,0,46,0,46,14,0,0
9001,0,45,0,45,15,0,0
9101,0,44,0,44,16,0,1
9201,0,47,0,47,13,0,0
9301,0,49,0,49,11,0,0
9401,0,49,0,49,11,0,0
9501,0,47,0,47,13,0,0
9601,0,47,0,47,13,0,0
9701,0,47,2,45,13,0,0
9801,0,49,2,47,11,0,0
9901,0,46,3,43,14,0,0
10001,0,41,2,39,19,0,0
10101,0,44,2,42,16,0,0
10201,0,45,3,42,15,0,0
10301,0,44,3,41,16,0,0
10401,0,44,3,41,16,0,0
10501,0,47,5,42,13,0,0
10601,0,48,6,42,12,0,0
10701,0,50,8,42,10,0,0
10801,0,45,8,37,15,0,0
10901,0,41,7,34,19,0,1
11001,0,44,5,39,16,0,0
11101,0,46,5,41,14,0,0
11201,0,42,3,39,18,0,0
11301,0,44,4,40,16,0,0
11401,0,46,6,40,14,1,0
11501,0,41,5,36,19,0,0
11601,0,41,6,35,19,0,1
11701,0,41,5,36,19,0,0
11801,0,44,8,36,16,0,0
11901,0,44,7,37,16,0,0
12001,0,43,8,35,17,0,0
12101,0,46,8,38,14,0,0
12201,0,48,9,39,12,0,0
12301,0,42,5,37,18,0,0
12401,0,42,5,37,18,0,0
12501,0,39,3,36,21,0,0
12601,0,43,4,39,17,0,0
12701,0,44,5,39,16,0,0
12801,0,43,4,39,17,0,0
12901,0,45,2,43,15,0,0
13001,0,48,3,45,12,0,0
13101,0,48,1,47,12,0,0
13201,0,50,2,48,10,0,0
13301,0,49,1,48,11,0,0
13401,0,48,2,46,12,0,0
13501,0,48,3,45,12,0,0
13601,0,47,4,43,13,0,0
13701,0,40,3,37,20,0,1
13801,0,43,3,40,17,1,0
13901,0,41,4,37,19,0,0
14001,0,40,4,36,20,0,0
14101,0,38,4,34,22,0,0
14201,0,39,7,32,21,0,0
14301,0,41,12,29,19,0,0
14401,0,33,14,19,27,0,0
14501,0,35,19,16,25,0,0
14601,0,39,26,13,21,0,0
14701,0,47,36,11,13,0,0
14801,0,44,40,4,16,0,0
14901,0,48,47,1,12,0,0
15001,0,51,50,1,9,0,0
15101,0,51,50,1,9,0,0
15201,0,54,53,1,6,0,0
15301,0,53,53,0,7,0,0
15401,0,54,54,0,6,0,0
15501,0,53,52,1,7,0,0
15601,0,49,49,0,11,0,0
15701,0,51,50,1,9,0,0
15801,0,53,52,1,7,0,0
15901,0,46,45,1,14,0,0
16001,0,46,45,1,14,0,0
16101,0,46,45,1,14,0,0
16201,0,43,42,1,17,0,0
16301,0,49,47,2,11,0,0
16401,0,46,45,1,14,0,0
16501,0,44,43,1,16,0,0
16601,0,45,44,1,15,0,0
16701,0,45,43,2,15,0,0
16801,0,46,44,2,14,0,0
16901,0,49,46,3,11,0,0
17001,0,41,39,2,19,1,0
17101,0,45,44,1,15,0,0
17201,0,49,46,3,11,0,0
17301,0,50,48,2,10,0,0
17401,0,51,49,2,9,0,0
17501,0,43,41,2,17,0,0
17601,0,45,43,2,15,0,0
17701,0,43,41,2,17,0,0
17801,0,48,46,2,12,0,1
17901,0,47,45,2,13,0,0
18001,0,50,49,1,10,0,0
18101,0,49,49,0,11,0,0
18201,0,50,50,0,10,0,0
18301,0,48,47,1,12,0,0
18401,0,50,49,1,10,0,0
18501,0,49,48,1,11,0,0
18601,0,48,47,1,12,0,0
18701,0,50,50,0,10,0,0
18801,0,51,51,0,9,0,0
18901,0,50,50,0,10,0,0
19001,0,49,49,0,11,0,0
19101,0,50,50,0,10,0,0
19201,0,48,48,0,12,0,0
19301,0,51,51,0,9,0,0
19401,0,52,52,0,8,0,0
19501,0,51,51,0,9,0,0
19601,0,51,51,0,9,0,1
19701,0,51,51,0,9,0,1
19801,0,50,50,0,10,0,0
19901,0,50,50,0,10,0,0
20001,0,52,52,0,8,0,0
20101,0,54,54,0,6,0,0
20201,0,54,54,0,6,0,0
20301,0,49,48,1,11,0,0
20401,0,51,50,1,9,0,0
20501,0,50,49,1,10,0,0
20601,0,49,48,1,11,0,0
20701,0,49,47,2,11,0,0
20801,0,51,49,2,9,0,0
20901,0,49,47,2,11,0,0
21001,0,45,44,1,15,0,0
