Time Steps,Polymerase Count,Active Histone Count,Acetylated Histone Count,Methylated Histone Count,Unmodified Histone Count,Noisy Changes Count,Enzyme Changes Count
1,0,30,0,30,30,0,0
101,0,28,0,28,32,0,0
201,0,28,0,28,32,0,0
301,0,28,0,28,32,0,0
401,0,28,0,28,32,0,0
501,0,28,0,28,32,0,0
601,0,28,0,28,32,0,0
701,0,27,0,27,33,0,0
801,0,27,0,27,33,0,0
901,0,27,0,27,33,0,0
1001,0,27,0,27,33,0,0
1101,0,28,1,27,32,0,0
1201,0,29,2,27,31,0,0
1301,0,28,1,27,32,0,0
1401,0,28,1,27,32,0,0
1501,0,27,1,26,33,0,0
1601,0,27,1,26,33,0,0
1701,0,27,1,26,33,0,0
1801,0,26,0,26,34,0,0
1901,0,26,0,26,34,1,0
2001,0,26,0,26,34,0,0
2101,0,27,0,27,33,0,0
2201,0,26,0,26,34,0,0
2301,0,26,0,26,34,0,0
2401,0,26,0,26,34,0,0
2501,0,26,0,26,34,0,0
2601,0,26,0,26,34,0,0
2701,0,26,0,26,34,0,0
2801,0,26,0,26,34,0,0
2901,0,26,0,26,34,0,0
3001,0,26,0,26,34,0,0
3101,0,28,1,27,32,0,0
3201,0,25,1,24,35,0,0
3301,0,24,1,23,36,0,0
3401,0,23,0,23,37,0,0
3501,0,23,0,23,37,0,0
3601,0,23,0,23,37,0,0
3701,0,22,0,22,38,0,0
3801,0,24,1,23,36,0,0
3901,0,24,1,23,36,0,0
4001,0,23,1,22,37,0,0
4101,0,21,1,20,39,0,0
4201,0,21,1,20,39,0,0
4301,0,21,1,20,39,0,0
4401,0,21,1,20,39,0,0
4501,0,22,1,21,38,0,0
4601,0,22,1,21,38,0,0
4701,0,22,2,20,38,0,0
4801,0,21,3,18,39,0,0
4901,0,18,1,17,42,0,0
5001,0,18,1,17,42,0,0
5101,0,18,1,17,42,0,0
5201,0,16,1,15,44,0,0
5301,0,16,1,15,44,0,0
5401,0,15,0,15,45,0,0
5501,0,14,0,14,46,0,0
5601,0,15,1,14,45,0,0
5701,0,14,1,13,46,0,0
5801,0,13,0,13,47,0,0
5901,0,13,0,13,47,0,0
6001,0,13,0,13,47,0,0
6101,0,13,0,13,47,0,0
6201,0,13,0,13,47,0,0
6301,0,13,0,13,47,0,0
6401,0,13,0,13,47,0,0
6501,0,13,0,13,47,0,0
6601,0,13,0,13,47,0,0
6701,0,13,0,13,47,0,0
6801,0,12,0,12,48,0,0
6901,0,12,0,12,48,0,0
7001,0,12,0,12,48,0,0
7101,0,12,0,12,48,0,0
7201,0,13,1,12,47,0,0
7301,0,13,1,12,47,0,0
7401,0,14,1,13,46,1,0
7501,0,12,0,12,48,0,0
7601,0,13,0,13,47,0,0
7701,0,14,0,14,46,0,0
7801,0,15,0,15,45,0,0
7901,0,14,0,14,46,0,0
8001,0,15,0,15,45,0,0
8101,0,15,0,15,45,0,0
8201,0,16,1,15,44,0,0
8301,0,14,0,14,46,0,0
8401,0,14,0,14,46,0,0
8501,0,15,0,15,45,0,0
8601,0,15,0,15,45,0,0
8701,0,15,0,15,45,0,0
8801,0,15,0,15,45,0,0
8901,0,15,0,15,45,0,0
9001,0,15,1,14,45,0,0
9101,0,15,1,14,45,0,0
9201,0,15,0,15,45,0,0
9301,0,17,2,15,43,0,0
9401,0,16,2,14,44,0,0
9501,0,15,2,13,45,0,0
9601,0,15,2,13,45,0,0
9701,0,13,0,13,47,0,0
9801,0,13,0,13,47,0,0
9901,0,13,0,13,47,0,0
10001,0,13,0,13,47,0,0
10101,0,13,0,13,47,0,0
10201,0,12,0,12,48,0,0
10301,0,14,0,14,46,0,0
10401,0,14,0,14,46,0,0
10501,0,14,0,14,46,0,0
10601,0,14,0,14,46,0,0
10701,0,14,0,14,46,0,0
10801,0,14,0,14,46,0,0
10901,0,14,0,14,46,0,0
11001,0,15,0,15,45,0,0
11101,0,14,0,14,46,0,0
11201,0,15,1,14,45,0,0
11301,0,15,1,14,45,0,0
11401,0,15,1,14,45,0,0
11501,0,14,0,14,46,0,0
11601,0,15,0,15,45,0,0
11701,0,15,0,15,45,0,0
11801,0,15,0,15,45,0,0
11901,0,15,0,15,45,0,0
12001,0,15,0,15,45,0,0
12101,0,15,0,15,45,0,0
12201,0,16,0,16,44,0,0
12301,0,17,0,17,43,0,0
12401,0,17,0,17,43,0,0
12501,0,17,0,17,43,0,0
12601,0,17,0,17,43,0,0
12701,0,18,1,17,42,0,0
12801,0,19,1,18,41,0,0
12901,0,18,1,17,42,0,0
13001,0,18,1,17,42,0,0
13101,0,18,1,17,42,0,0
13201,0,17,1,16,43,0,0
13301,0,17,1,16,43,0,0
13401,0,17,1,16,43,0,0
13501,0,17,1,16,43,0,0
13601,0,17,1,16,43,0,0
13701,0,17,1,16,43,0,0
13801,0,17,1,16,43,0,0
13901,0,15,1,14,45,0,0
14001,0,15,1,14,45,0,0
14101,0,15,1,14,45,0,0
14201,0,15,1,14,45,0,0
14301,0,15,1,14,45,0,0
14401,0,15,1,14,45,0,0
14501,0,15,2,13,45,0,0
14601,0,14,2,12,46,0,0
14701,0,13,2,11,47,0,0
14801,0,12,2,10,48,0,0
14901,0,12,2,10,48,0,0
15001,0,12,2,10,48,0,0
15101,0,11,2,9,49,0,0
15201,0,10,2,8,50,0,0
15301,0,11,2,9,49,0,0
15401,0,12,2,10,48,0,0
15501,0,11,1,10,49,0,0
15601,0,11,1,10,49,0,0
15701,0,10,1,9,50,0,0
15801,0,10,1,9,50,0,0
15901,0,11,2,9,49,0,0
16001,0,12,2,10,48,0,0
16101,0,10,2,8,50,0,0
16201,0,10,2,8,50,0,0
16301,0,9,2,7,51,0,0
16401,0,10,2,8,50,0,0
16501,0,9,3,6,51,0,1
16601,0,9,3,6,51,0,0
16701,0,9,3,6,51,0,0
16801,0,9,2,7,51,0,0
16901,0,8,1,7,52,0,0
17001,0,8,1,7,52,0,0
17101,0,8,1,7,52,0,0
17201,0,8,1,7,52,0,0
17301,0,9,2,7,51,0,0
17401,0,8,2,6,52,0,0
17501,0,8,2,6,52,0,0
17601,0,8,2,6,52,0,0
17701,0,7,2,5,53,0,0
17801,0,8,3,5,52,0,0
17901,0,9,3,6,51,0,0
18001,0,8,2,6,52,0,0
18101,0,8,2,6,52,0,0
18201,0,7,2,5,53,0,0
18301,0,7,2,5,53,0,0
18401,0,7,2,5,53,0,0
18501,0,7,2,5,53,0,0
18601,0,7,2,5,53,0,0
18701,0,7,3,4,53,0,0
18801,0,7,3,4,53,0,0
18901,0,7,3,4,53,0,0
19001,0,9,4,5,51,0,0
19101,0,7,2,5,53,0,0
19201,0,8,2,6,52,0,0
19301,0,8,2,6,52,0,0
19401,0,9,2,7,51,0,0
19501,0,8,2,6,52,0,0
19601,0,10,3,7,50,0,0
19701,0,10,3,7,50,0,0
19801,0,11,3,8,49,0,0
19901,0,10,3,7,50,0,0
20001,0,10,3,7,50,0,0
20101,0,10,3,7,50,0,0
20201,0,8,3,5,52,0,0
20301,0,8,3,5,52,0,0
20401,0,8,3,5,52,0,0
20501,0,7,3,4,53,0,0
20601,0,7,4,3,53,0,0
20701,0,8,5,3,52,0,0
20801,0,7,4,3,53,0,0
20901,0,7,4,3,53,0,0
21001,0,6,3,3,54,0,0
21101,0,6,3,3,54,0,0
21201,0,5,2,3,55,0,0
21301,0,5,2,3,55,0,0
21401,0,6,2,4,54,0,0
21501,0,6,2,4,54,0,0
21601,0,7,2,5,53,0,0
21701,0,7,2,5,53,0,0
21801,0,7,2,5,53,0,0
21901,0,5,0,5,55,0,0
22001,0,6,0,6,54,0,0
22101,0,6,0,6,54,0,0
22201,0,6,0,6,54,0,0
22301,0,6,0,6,54,0,0
22401,0,6,0,6,54,0,0
22501,0,6,0,6,54,0,0
22601,0,7,1,6,53,0,0
22701,0,7,1,6,53,0,0
22801,0,7,1,6,53,0,0
22901,0,7,1,6,53,0,0
23001,0,6,1,5,54,0,0
23101,0,6,1,5,54,0,0
23201,0,7,2,5,53,0,0
23301,0,7,2,5,53,0,0
23401,0,7,2,5,53,0,0
23501,0,6,1,5,54,0,0
23601,0,6,0,6,54,0,0
23701,0,5,0,5,55,0,0
23801,0,5,0,5,55,0,0
23901,0,6,0,6,54,0,0
24001,0,6,0,6,54,0,0
24101,0,6,0,6,54,0,0
24201,0,7,0,7,53,0,0
24301,0,8,1,7,52,0,0
24401,0,8,1,7,52,0,0
24501,0,8,1,7,52,0,0
24601,0,7,1,6,53,0,0
24701,0,7,1,6,53,0,0
24801,0,7,1,6,53,0,0
24901,0,8,1,7,52,0,0
25001,0,8,1,7,52,0,0
25101,0,8,1,7,52,0,0
25201,0,7,0,7,53,0,0
25301,0,7,0,7,53,0,0
25401,0,7,0,7,53,0,0
25501,0,7,0,7,53,0,0
25601,0,7,0,7,53,0,0
25701,0,7,0,7,53,0,0
25801,0,7,0,7,53,0,0
25901,0,9,1,8,51,0,0
26001,0,9,1,8,51,0,0
26101,0,9,1,8,51,0,0
26201,0,9,1,8,51,0,0
26301,0,9,1,8,51,0,0
26401,0,9,1,8,51,0,0
26501,0,9,1,8,51,0,0
26601,0,8,1,7,52,0,0
26701,0,8,1,7,52,0,0
26801,0,8,1,7,52,1,0
26901,0,9,2,7,51,0,0
27001,0,9,2,7,51,0,0
27101,0,10,4,6,50,0,0
27201,0,11,4,7,49,0,0
27301,0,11,5,6,49,0,0
27401,0,9,3,6,51,0,0
27501,0,8,2,6,52,0,0
27601,0,9,3,6,51,0,0
27701,0,10,4,6,50,0,0
27801,0,10,4,6,50,0,0
27901,0,10,4,6,50,0,0
28001,0,10,4,6,50,0,0
28101,0,9,4,5,51,0,0
28201,0,8,4,4,52,0,0
28301,0,9,4,5,51,0,0
28401,0,8,3,5,52,0,0
28501,0,8,3,5,52,0,0
28601,0,8,3,5,52,0,0
28701,0,8,3,5,52,0,0
28801,0,7,2,5,53,0,0
28901,0,6,1,5,54,0,0
29001,0,4,0,4,56,0,0
29101,0,5,1,4,55,0,0
29201,0,5,1,4,55,0,0
29301,0,4,1,3,56,0,0
29401,0,4,1,3,56,0,0
29501,0,3,0,3,57,0,0
29601,0,4,0,4,56,0,0
29701,0,4,0,4,56,0,0
29801,0,5,0,5,55,0,0
29901,0,5,0,5,55,0,0
30001,0,5,0,5,55,0,0
30101,0,5,0,5,55,0,0
30201,0,5,0,5,55,0,0
30301,0,6,0,6,54,0,0
30401,0,6,0,6,54,0,0
30501,0,6,0,6,54,0,0
30601,0,7,1,6,53,0,0
30701,0,7,1,6,53,0,0
30801,0,7,1,6,53,0,0
30901,0,7,1,6,53,0,0
31001,0,7,1,6,53,0,0
31101,0,9,2,7,51,0,0
31201,0,8,2,6,52,0,1
31301,0,9,3,6,51,0,0
31401,0,9,4,5,51,0,0
31501,0,9,4,5,51,0,0
31601,0,8,3,5,52,0,0
31701,0,9,4,5,51,0,0
31801,0,9,4,5,51,0,0
31901,0,7,3,4,53,0,0
32001,0,6,2,4,54,0,0
32101,0,5,2,3,55,0,0
32201,0,5,2,3,55,0,0
32301,0,6,3,3,54,0,0
32401,0,5,3,2,55,0,0
32501,0,5,3,2,55,0,0
32601,0,5,3,2,55,0,0
32701,0,4,2,2,56,0,0
32801,0,4,2,2,56,0,0
32901,0,5,3,2,55,0,0
33001,0,4,2,2,56,0,0
33101,0,4,2,2,56,0,0
33201,0,4,2,2,56,0,0
33301,0,6,2,4,54,0,0
33401,0,6,2,4,54,0,0
33501,0,6,1,5,54,0,0
33601,0,5,1,4,55,0,0
33701,0,4,1,3,56,0,0
33801,0,5,2,3,55,0,0
33901,0,7,2,5,53,0,0
34001,0,7,2,5,53,0,0
34101,0,7,2,5,53,0,0
34201,0,7,2,5,53,0,0
34301,0,7,1,6,53,0,0
34401,0,7,1,6,53,0,0
34501,0,7,2,5,53,0,0
34601,0,7,2,5,53,0,0
34701,0,7,2,5,53,0,0
34801,0,8,3,5,52,0,0
34901,0,8,3,5,52,0,0
35001,0,7,2,5,53,0,0
35101,0,7,2,5,53,0,0
35201,0,7,3,4,53,0,0
35301,0,6,3,3,54,0,0
35401,0,5,2,3,55,0,0
35501,0,5,2,3,55,0,0
35601,0,5,2,3,55,0,0
35701,0,4,2,2,56,0,0
35801,0,4,2,2,56,0,0
35901,0,5,2,3,55,0,0
36001,0,7,4,3,53,0,0
36101,0,7,5,2,53,0,0
36201,0,9,5,4,51,0,0
36301,0,9,5,4,51,0,0
36401,0,10,6,4,50,0,0
36501,0,10,6,4,50,0,0
36601,0,9,6,3,51,0,0
36701,0,9,6,3,51,0,0
36801,0,9,6,3,51,0,0
36901,0,8,6,2,52,0,0
37001,0,9,7,2,51,0,0
37101,0,9,7,2,51,0,0
37201,0,8,6,2,52,0,0
37301,0,8,6,2,52,0,0
37401,0,8,6,2,52,0,0
37501,0,8,7,1,52,0,0
37601,0,8,7,1,52,0,0
37701,0,8,7,1,52,0,0
37801,0,9,8,1,51,0,0
37901,0,10,9,1,50,0,0
38001,0,11,9,2,49,0,0
38101,0,11,9,2,49,0,0
38201,0,11,9,2,49,0,0
38301,0,11,9,2,49,0,0
38401,0,10,9,1,50,0,0
38501,0,9,9,0,51,0,0
38601,0,9,9,0,51,0,0
38701,0,9,9,0,51,0,0
38801,0,10,10,0,50,0,0
38901,0,10,9,1,50,0,0
39001,0,10,9,1,50,0,0
39101,0,10,9,1,50,0,0
39201,0,10,9,1,50,0,0
39301,0,10,8,2,50,0,0
39401,0,12,10,2,48,0,0
39501,0,13,10,3,47,0,0
39601,0,14,11,3,46,0,0
39701,0,12,11,1,48,0,0
39801,0,11,10,1,49,0,0
39901,0,10,9,1,50,0,0
40001,0,10,9,1,50,0,0
40101,0,10,9,1,50,0,0
40201,0,10,9,1,50,0,0
40301,0,10,9,1,50,0,0
40401,0,10,10,0,50,0,0
40501,0,12,10,2,48,0,0
40601,0,14,9,5,46,0,0
40701,0,14,9,5,46,1,0
40801,0,12,8,4,48,0,0
40901,0,9,8,1,51,0,0
41001,0,9,8,1,51,0,0
41101,0,9,8,1,51,0,0
41201,0,8,8,0,52,0,0
41301,0,8,8,0,52,0,0
41401,0,8,8,0,52,0,0
41501,0,7,7,0,53,0,0
41601,0,8,7,1,52,0,0
41701,0,8,7,1,52,0,0
41801,0,8,7,1,52,0,0
41901,0,9,8,1,51,0,0
42001,0,9,8,1,51,0,0
42101,0,9,8,1,51,0,0
42201,0,9,8,1,51,0,0
42301,0,9,8,1,51,0,0
42401,0,9,8,1,51,0,0
42501,0,9,8,1,51,0,0
42601,0,9,9,0,51,0,0
42701,0,10,9,1,50,0,0
42801,0,10,9,1,50,0,0
42901,0,11,9,2,49,1,0
43001,0,9,8,1,51,0,0
43101,0,9,8,1,51,0,0
43201,0,9,8,1,51,0,0
43301,0,9,8,1,51,0,0
43401,0,8,7,1,52,0,0
43501,0,7,6,1,53,0,0
43601,0,8,7,1,52,0,0
43701,0,8,7,1,52,0,0
43801,0,8,7,1,52,0,0
43901,0,10,8,2,50,0,0
44001,0,10,7,3,50,0,0
44101,0,10,7,3,50,0,0
44201,0,10,7,3,50,0,0
44301,0,10,7,3,50,0,0
44401,0,10,7,3,50,0,0
44501,0,11,7,4,49,0,0
44601,0,12,8,4,48,0,0
44701,0,12,8,4,48,0,0
44801,0,11,8,3,49,0,0
44901,0,10,8,2,50,0,0
45001,0,10,8,2,50,0,0
45101,0,8,7,1,52,0,0
45201,0,8,7,1,52,0,0
45301,0,8,7,1,52,0,0
45401,0,9,7,2,51,0,0
45501,0,9,6,3,51,0,0
45601,0,9,6,3,51,0,0
