Simulation,Transitions
1,"{'U_and_M_to_U_and_U': 21, 'M_and_U_to_M_and_M': 47, 'Polymerase_M_to_A': 44, 'M_and_A_to_M_and_M': 37, 'A_and_M_to_A_and_A': 21, 'U_and_A_to_U_and_U': 31, 'A_and_U_to_A_and_A': 17}"
2,"{'U_and_M_to_U_and_U': 20, 'Polymerase_M_to_A': 42, 'A_and_M_to_A_and_A': 24, 'M_and_A_to_M_and_M': 62, 'M_and_U_to_M_and_M': 22, 'A_and_U_to_A_and_A': 19, 'U_and_A_to_U_and_U': 8}"
3,"{'U_and_M_to_U_and_U': 28, 'Polymerase_M_to_A': 31, 'M_and_U_to_M_and_M': 32, 'A_and_M_to_A_and_A': 20, 'U_and_A_to_U_and_U': 46, 'M_and_A_to_M_and_M': 29, 'A_and_U_to_A_and_A': 51}"
4,"{'M_and_U_to_M_and_M': 43, 'U_and_M_to_U_and_U': 38, 'Polymerase_M_to_A': 35, 'A_and_U_to_A_and_A': 22, 'M_and_A_to_M_and_M': 21, 'U_and_A_to_U_and_U': 53, 'A_and_M_to_A_and_A': 20}"
5,"{'U_and_M_to_U_and_U': 20, 'M_and_U_to_M_and_M': 36, 'Polymerase_M_to_A': 44, 'A_and_U_to_A_and_A': 31, 'A_and_M_to_A_and_A': 24, 'M_and_A_to_M_and_M': 42, 'U_and_A_to_U_and_U': 38}"
6,"{'Polymerase_M_to_A': 38, 'M_and_U_to_M_and_M': 41, 'M_and_A_to_M_and_M': 36, 'A_and_U_to_A_and_A': 27, 'A_and_M_to_A_and_A': 18, 'U_and_M_to_U_and_U': 31, 'U_and_A_to_U_and_U': 39}"
7,"{'U_and_M_to_U_and_U': 43, 'M_and_U_to_M_and_M': 40, 'Polymerase_M_to_A': 34, 'A_and_U_to_A_and_A': 35, 'M_and_A_to_M_and_M': 28, 'U_and_A_to_U_and_U': 32, 'A_and_M_to_A_and_A': 7}"
8,"{'Polymerase_M_to_A': 33, 'U_and_M_to_U_and_U': 27, 'M_and_A_to_M_and_M': 7, 'M_and_U_to_M_and_M': 37, 'U_and_A_to_U_and_U': 49, 'A_and_U_to_A_and_A': 24, 'A_and_M_to_A_and_A': 6}"
9,"{'M_and_U_to_M_and_M': 20, 'U_and_M_to_U_and_U': 21, 'Polymerase_M_to_A': 25, 'A_and_U_to_A_and_A': 20, 'A_and_M_to_A_and_A': 16, 'U_and_A_to_U_and_U': 53, 'M_and_A_to_M_and_M': 8}"
10,"{'M_and_U_to_M_and_M': 26, 'U_and_M_to_U_and_U': 17, 'Polymerase_M_to_A': 50, 'A_and_M_to_A_and_A': 30, 'M_and_A_to_M_and_M': 50, 'A_and_U_to_A_and_A': 4, 'U_and_A_to_U_and_U': 12}"
