Time Steps,Burst Size, Burst duration in dt,Burst inactivation in dt,Count A in gene,Count M in genge,Count total M 
1, 0, 1,1, 4, 0, 30 
101, 0, 1,1, 2, 0, 36 
201, 0, 1,1, 2, 1, 43 
301, 0, 1,1, 2, 1, 38 
401, 0, 1,1, 2, 1, 42 
501, 0, 1,1, 2, 1, 47 
601, 0, 1,1, 2, 2, 49 
701, 0, 1,1, 2, 2, 48 
801, 0, 1,1, 3, 1, 45 
901, 0, 1,1, 3, 0, 48 
1001, 0, 1,1, 3, 0, 48 
1101, 0, 1,1, 3, 1, 49 
1201, 0, 1,1, 3, 1, 46 
1301, 0, 1,1, 5, 1, 49 
1401, 0, 1,1, 5, 1, 52 
1501, 0, 1,1, 4, 3, 55 
1601, 0, 1,1, 2, 2, 60 
1701, 0, 1,1, 2, 4, 61 
1801, 0, 1,1, 2, 4, 58 
1901, 0, 1,1, 2, 4, 58 
2001, 0, 1,1, 2, 2, 31 
2101, 0, 1,1, 2, 2, 42 
2201, 0, 1,1, 2, 2, 54 
2301, 0, 1,1, 2, 2, 53 
2401, 0, 1,1, 4, 2, 57 
2501, 0, 1,1, 3, 2, 56 
2601, 0, 1,1, 3, 3, 58 
2701, 0, 1,1, 1, 3, 61 
2801, 0, 1,1, 2, 4, 73 
2901, 0, 1,1, 2, 4, 79 
3001, 0, 1,1, 1, 4, 88 
3101, 0, 1,1, 2, 4, 88 
3201, 0, 1,1, 2, 4, 94 
3301, 0, 1,1, 1, 4, 93 
3401, 0, 1,1, 1, 4, 90 
3501, 0, 1,1, 1, 3, 99 
3601, 0, 1,1, 0, 4, 106 
3701, 0, 1,1, 0, 3, 102 
3801, 0, 1,1, 0, 3, 104 
3901, 0, 1,1, 0, 2, 103 
4001, 0, 1,1, 0, 2, 63 
4101, 0, 1,1, 0, 2, 86 
4201, 0, 1,1, 0, 2, 95 
4301, 0, 1,1, 0, 4, 107 
4401, 0, 1,1, 0, 3, 116 
4501, 0, 1,1, 0, 3, 119 
4601, 0, 1,1, 0, 4, 125 
4701, 0, 1,1, 0, 5, 140 
4801, 0, 1,1, 0, 4, 148 
4901, 0, 1,1, 0, 4, 146 
5001, 0, 1,1, 1, 4, 145 
5101, 0, 1,1, 2, 4, 150 
5201, 0, 1,1, 2, 3, 151 
5301, 0, 1,1, 2, 3, 152 
5401, 0, 1,1, 1, 3, 151 
5501, 0, 1,1, 0, 5, 156 
5601, 0, 1,1, 0, 5, 153 
5701, 0, 1,1, 1, 4, 144 
5801, 0, 1,1, 1, 5, 147 
5901, 0, 1,1, 1, 5, 150 
6001, 0, 1,1, 1, 4, 91 
6101, 0, 1,1, 1, 3, 99 
6201, 0, 1,1, 1, 3, 108 
6301, 0, 1,1, 0, 3, 115 
6401, 0, 1,1, 1, 3, 122 
6501, 0, 1,1, 0, 2, 126 
6601, 0, 1,1, 0, 2, 124 
6701, 0, 1,1, 0, 3, 125 
6801, 0, 1,1, 1, 2, 135 
6901, 0, 1,1, 1, 3, 138 
7001, 0, 1,1, 1, 4, 136 
7101, 0, 1,1, 2, 3, 136 
7201, 0, 1,1, 2, 1, 129 
7301, 0, 1,1, 1, 3, 138 
7401, 0, 1,1, 2, 3, 135 
7501, 0, 1,1, 2, 3, 141 
7601, 0, 1,1, 2, 4, 144 
7701, 0, 1,1, 3, 3, 138 
7801, 0, 1,1, 3, 4, 136 
7901, 0, 1,1, 3, 4, 139 
8001, 0, 1,1, 0, 3, 86 
8101, 0, 1,1, 0, 5, 101 
8201, 0, 1,1, 1, 5, 115 
8301, 0, 1,1, 1, 5, 123 
8401, 0, 1,1, 1, 6, 126 
8501, 0, 1,1, 1, 6, 128 
8601, 0, 1,1, 1, 5, 124 
8701, 0, 1,1, 1, 5, 131 
8801, 0, 1,1, 1, 5, 137 
8901, 0, 1,1, 0, 4, 143 
9001, 0, 1,1, 0, 5, 146 
9101, 0, 1,1, 0, 5, 143 
9201, 0, 1,1, 0, 4, 139 
9301, 0, 1,1, 0, 4, 140 
9401, 0, 1,1, 0, 5, 137 
9501, 0, 1,1, 0, 6, 142 
9601, 0, 1,1, 0, 5, 144 
9701, 0, 1,1, 0, 4, 140 
9801, 0, 1,1, 0, 4, 128 
9901, 0, 1,1, 0, 1, 62 
10001, 0, 1,1, 1, 2, 80 
10101, 0, 1,1, 2, 2, 88 
10201, 0, 1,1, 2, 2, 93 
10301, 0, 1,1, 2, 4, 99 
10401, 0, 1,1, 1, 3, 107 
10501, 0, 1,1, 0, 4, 113 
10601, 0, 1,1, 1, 4, 112 
10701, 0, 1,1, 1, 4, 117 
10801, 0, 1,1, 2, 4, 112 
10901, 0, 1,1, 2, 4, 114 
11001, 0, 1,1, 1, 5, 120 
11101, 0, 1,1, 1, 4, 124 
11201, 0, 1,1, 1, 4, 125 
11301, 0, 1,1, 1, 4, 133 
11401, 0, 1,1, 1, 3, 140 
11501, 0, 1,1, 1, 4, 144 
11601, 0, 1,1, 0, 5, 147 
11701, 0, 1,1, 0, 5, 145 
11801, 0, 1,1, 0, 6, 143 
11901, 0, 1,1, 0, 4, 82 
12001, 0, 1,1, 0, 4, 97 
12101, 0, 1,1, 1, 4, 111 
12201, 0, 1,1, 1, 4, 124 
12301, 0, 1,1, 1, 5, 132 
12401, 0, 1,1, 0, 6, 139 
12501, 0, 1,1, 0, 6, 150 
12601, 0, 1,1, 0, 6, 146 
12701, 0, 1,1, 0, 7, 149 
12801, 0, 1,1, 0, 6, 148 
12901, 0, 1,1, 0, 3, 138 
13001, 0, 1,1, 1, 2, 146 
13101, 0, 1,1, 1, 2, 144 
13201, 0, 1,1, 0, 3, 147 
13301, 0, 1,1, 0, 6, 151 
13401, 0, 1,1, 0, 6, 148 
13501, 0, 1,1, 0, 5, 156 
13601, 0, 1,1, 0, 4, 150 
13701, 0, 1,1, 0, 5, 144 
13801, 0, 1,1, 0, 4, 146 
13901, 0, 1,1, 0, 4, 87 
14001, 0, 1,1, 0, 4, 104 
14101, 0, 1,1, 1, 4, 108 
14201, 0, 1,1, 1, 4, 119 
14301, 0, 1,1, 1, 4, 123 
14401, 0, 1,1, 0, 5, 136 
14501, 0, 1,1, 1, 5, 139 
14601, 0, 1,1, 1, 5, 146 
14701, 0, 1,1, 1, 5, 146 
14801, 0, 1,1, 0, 5, 147 
14901, 0, 1,1, 0, 6, 151 
15001, 0, 1,1, 0, 6, 154 
15101, 0, 1,1, 0, 6, 152 
15201, 0, 1,1, 0, 7, 147 
15301, 0, 1,1, 0, 7, 149 
15401, 0, 1,1, 0, 5, 147 
15501, 0, 1,1, 1, 4, 146 
15601, 0, 1,1, 0, 5, 150 
15701, 0, 1,1, 1, 4, 154 
15801, 0, 1,1, 1, 3, 143 
15901, 0, 1,1, 0, 1, 86 
16001, 0, 1,1, 0, 1, 99 
16101, 0, 1,1, 1, 1, 108 
16201, 0, 1,1, 0, 2, 116 
16301, 0, 1,1, 1, 4, 125 
16401, 0, 1,1, 1, 4, 126 
16501, 0, 1,1, 1, 4, 123 
16601, 0, 1,1, 0, 3, 116 
16701, 0, 1,1, 0, 3, 121 
16801, 0, 1,1, 0, 2, 127 
16901, 0, 1,1, 0, 4, 127 
17001, 0, 1,1, 0, 3, 125 
17101, 0, 1,1, 1, 4, 122 
17201, 0, 1,1, 0, 5, 140 
17301, 0, 1,1, 0, 5, 135 
17401, 0, 1,1, 0, 5, 137 
17501, 0, 1,1, 0, 5, 130 
17601, 0, 1,1, 0, 6, 140 
17701, 0, 1,1, 0, 7, 148 
17801, 0, 1,1, 0, 6, 148 
17901, 0, 1,1, 0, 2, 99 
18001, 0, 1,1, 0, 3, 115 
18101, 0, 1,1, 0, 4, 118 
18201, 0, 1,1, 0, 5, 135 
18301, 0, 1,1, 0, 6, 133 
18401, 0, 1,1, 0, 3, 138 
18501, 0, 1,1, 0, 3, 137 
18601, 0, 1,1, 0, 4, 144 
18701, 0, 1,1, 0, 5, 137 
18801, 0, 1,1, 1, 5, 139 
18901, 0, 1,1, 0, 5, 142 
19001, 0, 1,1, 0, 5, 142 
19101, 0, 1,1, 0, 7, 150 
19201, 0, 1,1, 0, 5, 149 
19301, 0, 1,1, 0, 6, 146 
19401, 0, 1,1, 0, 6, 148 
19501, 0, 1,1, 0, 6, 145 
19601, 0, 1,1, 0, 6, 142 
19701, 0, 1,1, 0, 7, 150 
19801, 0, 1,1, 0, 2, 70 
19901, 0, 1,1, 0, 2, 85 
20001, 0, 1,1, 1, 0, 99 
