Time Steps,Polymerase Count,Active Histone Count,Acetylated Histone Count,Methylated Histone Count,Unmodified Histone Count,Noisy Changes Count,Enzyme Changes Count
1,0,31,0,31,29,0,1
101,0,37,0,37,23,0,0
201,0,44,1,43,16,0,0
301,0,48,1,47,12,0,0
401,0,46,1,45,14,0,0
501,0,51,2,49,9,0,0
601,0,50,2,48,10,0,0
701,0,48,2,46,12,0,0
801,0,43,2,41,17,0,0
901,0,43,3,40,17,0,0
1001,0,49,3,46,11,0,0
1101,0,50,2,48,10,0,0
1201,0,49,3,46,11,0,0
1301,0,47,1,46,13,0,0
1401,0,47,2,45,13,0,0
1501,0,46,1,45,14,0,0
1601,0,48,2,46,12,0,0
1701,0,47,1,46,13,0,0
1801,0,50,1,49,10,0,0
1901,0,52,2,50,8,0,0
2001,0,49,2,47,11,0,0
2101,0,45,4,41,15,0,0
2201,0,44,2,42,16,0,0
2301,0,45,0,45,15,0,0
2401,0,48,0,48,12,0,0
2501,0,50,1,49,10,0,0
2601,0,53,2,51,7,1,0
2701,0,48,2,46,12,0,0
2801,0,53,3,50,7,0,0
2901,0,53,4,49,7,0,0
3001,0,53,5,48,7,0,0
3101,0,45,4,41,15,0,0
3201,0,49,5,44,11,0,0
3301,0,44,4,40,16,0,0
3401,0,46,4,42,14,0,0
3501,0,45,5,40,15,0,0
3601,0,47,10,37,13,0,1
3701,0,43,8,35,17,1,0
3801,0,45,6,39,15,0,0
3901,3,45,16,29,15,1,0
4001,2,43,19,24,17,0,0
4101,4,45,22,23,15,0,0
4201,1,45,24,21,15,0,0
4301,3,47,26,21,13,0,0
4401,1,48,22,26,12,0,0
4501,1,47,21,26,13,0,1
4601,2,41,18,23,19,0,0
4701,1,45,22,23,15,0,0
4801,3,37,16,21,23,0,0
4901,0,41,18,23,19,0,0
5001,1,46,23,23,14,0,0
5101,2,40,18,22,20,0,0
5201,1,39,18,21,21,0,0
5301,2,43,17,26,17,0,0
5401,4,46,21,25,14,0,0
5501,2,43,17,26,17,0,0
5601,1,44,18,26,16,0,0
5701,1,41,19,22,19,0,0
5801,0,43,21,22,17,0,0
5901,3,37,17,20,23,0,0
6001,4,41,21,20,19,0,1
6101,5,40,20,20,20,0,0
6201,3,41,22,19,19,0,0
6301,2,36,24,12,24,0,0
6401,2,32,24,8,28,0,0
6501,4,37,29,8,23,0,0
6601,2,41,34,7,19,0,0
6701,2,39,35,4,21,0,0
6801,0,43,38,5,17,0,0
6901,2,45,40,5,15,0,0
7001,0,44,39,5,16,0,0
7101,1,44,39,5,16,0,0
7201,4,42,34,8,18,1,0
7301,1,36,30,6,24,0,0
7401,3,43,33,10,17,0,0
7501,4,43,29,14,17,0,0
7601,3,40,28,12,20,0,0
7701,2,35,24,11,25,0,0
7801,3,37,27,10,23,0,0
7901,4,37,28,9,23,0,0
8001,4,36,27,9,24,0,0
8101,1,41,30,11,19,0,0
8201,4,40,26,14,20,0,0
8301,1,41,22,19,19,0,0
8401,4,41,20,21,19,0,0
8501,1,42,23,19,18,0,1
8601,1,46,23,23,14,0,0
8701,3,41,22,19,19,0,0
8801,1,37,21,16,23,0,0
8901,2,39,23,16,21,0,0
9001,4,40,25,15,20,0,0
9101,4,40,24,16,20,0,1
9201,1,44,25,19,16,0,0
9301,3,44,22,22,16,0,0
9401,1,40,24,16,20,0,0
9501,4,43,25,18,17,0,0
9601,3,43,28,15,17,0,0
9701,2,43,27,16,17,0,0
9801,3,41,28,13,19,0,0
9901,2,38,29,9,22,0,0
10001,4,42,34,8,18,0,0
10101,2,44,38,6,16,0,0
10201,1,43,38,5,17,0,0
10301,2,45,37,8,15,0,0
10401,6,42,34,8,18,0,1
10501,1,48,39,9,12,0,1
10601,2,47,40,7,13,0,0
10701,7,46,42,4,14,0,0
10801,3,44,39,5,16,0,0
10901,2,42,39,3,18,0,0
11001,1,41,39,2,19,0,0
11101,3,48,47,1,12,0,0
11201,1,49,49,0,11,0,0
11301,3,51,51,0,9,0,0
11401,2,52,51,1,8,0,0
11501,1,52,52,0,8,0,0
11601,1,52,52,0,8,0,0
11701,3,54,53,1,6,0,0
11801,1,54,53,1,6,0,1
11901,1,54,53,1,6,0,0
12001,4,53,52,1,7,0,0
12101,1,54,53,1,6,0,0
12201,1,54,53,1,6,0,0
12301,1,54,52,2,6,0,0
12401,3,53,52,1,7,0,0
12501,2,49,48,1,11,0,0
12601,2,48,47,1,12,1,0
12701,1,48,47,1,12,0,1
12801,0,50,48,2,10,0,0
12901,1,48,46,2,12,0,0
13001,0,45,42,3,15,0,0
13101,4,45,42,3,15,1,0
13201,4,45,39,6,15,0,1
13301,4,46,38,8,14,0,0
13401,3,45,38,7,15,0,0
13501,2,42,35,7,18,0,0
13601,0,45,37,8,15,0,0
13701,1,36,29,7,24,0,0
13801,2,38,27,11,22,0,0
