Random atoms - written for EnvodeVentorTutorial

1000 atoms
3 atom types
0.0 20.0 xlo xhi
0.0 20.0 ylo yhi
0.0 20.0 zlo zhi
Atoms

{} 1 1000 0 [17.60894267  4.80888798 12.87531022]
{} 2 1000 1 [ 5.6567701  13.01016921 12.23826077]
{} 1 1000 2 [11.04122263  3.51703051  1.38913237]
{} 3 1000 3 [2.2168795  3.18564436 6.62952085]
{} 1 1000 4 [ 3.8665723   1.14908112 18.55622168]
{} 1 1000 5 [ 9.50962223 19.95223299 18.04667392]
{} 2 1000 6 [11.09479642 16.33500008  3.5914343 ]
{} 1 1000 7 [15.91311707 16.16954877  0.3296805 ]
{} 2 1000 8 [13.39088566 14.21263958  9.71152155]
{} 3 1000 9 [10.89978918 16.27760023 18.25239532]
{} 1 1000 10 [ 9.35020403  0.55531343 12.26086992]
{} 2 1000 11 [18.60101708  6.64288479  0.80313809]
{} 2 1000 12 [15.41965705 18.50980489  2.24834083]
{} 1 1000 13 [ 9.32445468 17.51867022  0.49711153]
{} 3 1000 14 [ 1.48481996 11.05132016  7.26867061]
{} 1 1000 15 [ 1.02954553 18.01017656  0.99878545]
{} 3 1000 16 [ 7.40874679 15.79103165  3.66520967]
{} 3 1000 17 [16.03060086 12.42912233  3.96637636]
{} 3 1000 18 [16.55005841 16.26232336 14.95330333]
{} 2 1000 19 [ 3.94816632 10.21642984  8.39709669]
{} 1 1000 20 [ 0.95893402 14.23979079  8.42925862]
{} 1 1000 21 [17.80732185 19.71665985  7.95129942]
{} 1 1000 22 [18.32533614  0.35619643  7.70927867]
{} 2 1000 23 [ 9.92881159  9.4735065  13.60623724]
{} 3 1000 24 [ 3.54147291 14.14927144  7.39115166]
{} 1 1000 25 [10.79296612 19.01468676  8.67978811]
{} 2 1000 26 [19.7240624   5.25371737  0.51426555]
{} 3 1000 27 [ 0.56261209 16.1555013   3.19457925]
{} 3 1000 28 [ 4.7599609   9.20050243 12.64993215]
{} 1 1000 29 [ 6.94671441  3.36702326 17.24684669]
{} 1 1000 30 [15.35627838  3.32529058  3.19344542]
{} 2 1000 31 [10.49905084  4.16728175 10.24858136]
{} 3 1000 32 [ 8.78740595  9.53842025 17.98003131]
{} 3 1000 33 [10.33890664 15.76945979  2.89947451]
{} 1 1000 34 [ 8.59856399 12.10137016  7.66331864]
{} 2 1000 35 [14.95599266  5.78328917 13.65375092]
{} 3 1000 36 [16.12999689 18.06450425  6.6419571 ]
{} 2 1000 37 [18.24802717  9.02181875  2.07784514]
{} 3 1000 38 [16.85919633 10.46969359  7.77171527]
{} 2 1000 39 [ 4.1539375  10.55296459 10.06287725]
{} 3 1000 40 [ 1.73857725 16.07101219 19.23741882]
{} 3 1000 41 [ 2.4515714  17.11760697  5.36207437]
{} 2 1000 42 [19.08570266  7.04335126  4.34409771]
{} 2 1000 43 [10.97950955  5.17249595  7.22209526]
{} 2 1000 44 [ 6.29766871 12.86649973  5.38604293]
{} 2 1000 45 [13.07077764  3.64370349 16.82632054]
{} 2 1000 46 [ 9.44955425 16.82151318 15.28067875]
{} 3 1000 47 [12.51341218 19.87977404  0.39995254]
{} 2 1000 48 [ 0.28170869 10.76640868  2.01325234]
{} 1 1000 49 [14.3918866   4.78079096 16.33653965]
{} 1 1000 50 [1.58224356e+01 5.71031255e+00 8.77775364e-03]
{} 3 1000 51 [7.37075068 7.90941813 9.28192511]
{} 3 1000 52 [ 0.09983862  4.77840016 13.73570082]
{} 3 1000 53 [13.29367709  0.61119336 15.9336272 ]
{} 2 1000 54 [ 8.26397962 13.83650623 16.79343044]
{} 3 1000 55 [ 7.05017582  5.35966809 10.72133077]
{} 1 1000 56 [16.94148102  4.24467116 10.9526641 ]
